SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0245361245157344	0.00448582885883233	0.502571422098371	9.06228052289359e-05	0	0	4.53114026144679e-05	0.0652031083622193	0.0584517093726636	0	0	0	0.00888103491243571	0.029633657309862	0	0.205056752531775	0.000543736831373615	0.054033847617753	0	0.00228822583203063	0	0	0.0058678266385736	0	0	0.0383107909105326	0
ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0181908302354399	0.00287484510532838	0.427955390334572	0	0	0.00252788104089219	0	0.0653779429987608	0.0598265179677819	0	0	0	0	0.017546468401487	0	0.328426270136307	0	0.0472366790582404	0.000793060718711276	0.00277571251548947	0.000793060718711276	0	0.00971499380421314	0	0	0.0159603469640644	0
ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.021955989009629	0.0012624074853338	0.450827990791851	0.00722790168073467	0.000470308671006708	0.00222777791529493	0.000891111166117973	0.0473279041560435	0.0887893264684769	0.000445555583058987	0.00792098814327087	0	0.00423277803906037	0.0222777791529493	0.000420802495111265	0.261343102552043	0.000396049407163544	0.0538627193742419	0.0012624074853338	0.00200500012376544	0.00198024703581772	0	0.00831703755043442	0.000594074110745315	0	0.0139607416025149	0
ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.019305396236546	0.00495448221999854	0.447685060893759	0	0	0	0.000268469479901398	0.0811265955629317	0.0394162009127962	0	0	0	0.00270910111536866	0.0572816244844166	0	0.264125155590267	0.000170844214482708	0.0537183022966344	0.00056134527615747	0.00175725477753643	0	0	0.0107631855124106	0	0	0.0161569814267933	0
ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.00528788214171524	0.00159866204284414	0.411397230625446	0.020462874148405	0	0.00327110848766571	0.000664059617796798	0.0248899382670503	0.0511079957696943	4.91896013182813e-05	0.000295137607909688	0	0.00076243882043336	0.0399665510711036	0.000295137607909688	0.313411544799429	0	0.0823679874074621	0.0022381268599818	0.00546004574632923	0.00191839445141297	0.000295137607909688	0.00405814210875821	0	0	0.0300056568041516	0.000196758405273125
ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.00713554849480317	0.00102321072755668	0.400910119015564	0.0189832516559858	0	0.00473908126447305	0.000861651138995099	0.0241262318918628	0.0608002584953417	0	0.00191178846464538	0	0.00309655878076364	0.0161559588561581	0.00129247670849265	0.281113684097151	0	0.0752598416716032	0.00285421939792127	0.00980128170606926	0.00700091550433518	0.000161559588561581	0.0085626581937638	0	0	0.073805805374549	0.000403898971403953
ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.030093151861695	0.00212074843628359	0.53354272368527	0	0	0	0.000348983919894768	0.0575286569488067	0.107245443075354	0	0	0	0.00037582883680975	0.0160532603151593	0	0.199538267429062	0.00136909076266409	0.0382003167700196	0.000429518670639714	0.00185229926713377	0	0	0.00536898338299643	0	0	0.00593272663821105	0
ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0191440550589352	0.0021622761912296	0.426996809324157	0.0254990375234027	0	0.00949291986393482	0.000659230546106584	0.0513672441526251	0.0707486222081586	0.000527384436885268	0.0130000263692218	0	0.00867547398676265	0.0193550088336893	0.00166126097618859	0.243757086728371	0	0.0550589352108219	0.00321704506500013	0.00503652137225431	0.00704058223241832	0.000316430662131161	0.0121562112702054	0	0	0.023732299659837	0.000395538327663951
PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0184197348080733	0.00320059221842409	0.45365673104139	0.0236016460188552	0	0.00389731977617627	0.00226436456269459	0.0588517058938797	0.0327244224781728	0.000653182085392671	0.0258660105815498	0.00091445491954974	0.0428487448017592	0.0338783774956999	0.0185068257527924	0.146987741949531	0	0.0738531211217314	0.00653182085392671	0.0130854144440332	0.00350541052494067	0.0339654684404189	0.00182890983909948	0	0	0.000108863680898779	0.000849136711010473
PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0243991555699903	0.00231406300746996	0.52492692432608	0.0116515102305943	0	0.00866758687885677	0	0.0464436505358883	0.0569584280610588	0.000568366352711919	0.0121386813900617	0.0002029879831114	0.0228158493017213	0.0168480025982462	0.0185328028580708	0.175503410198116	0	0.0389533939590776	0.00897206885352387	0.0129303345241962	0.00347109451120494	0.0106771679116596	0.0019283858395583	0	0	0.0002029879831114	0.000893147125690159
