SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Deferribacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	2.11092624226642	3.34621601315501	0.146128035678238	0	0	3.27256096386156	0	1.42975228000241	2.23070431361257	0
ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.63848925695464	2.9367147582112	0	0	0.785329835010767	3.02288181333203	0.414973347970818	1.31386722036915	1.52113808370404	0
ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.97680833733807	3.26061987517237	1.48000694295715	0.462397997898956	1	3.29782614258533	0.954242509439325	1.53907609879278	1.77670118398841	0
ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	2.001733712809	3.26370706460743	0	0	0	3.31266386615063	0	1.65417654187796	1.82736927305383	0
ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.46239799789896	3.22367761613003	1.92531209149965	0	1.15533603746506	3.32662256451566	0.944482672150169	1.2718416065365	2.0899051114394	0.255272505103306
ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.49554433754645	3.17315712015347	1.85430604180108	0	1.26951294421792	3.24883119280796	1.43136376415899	1.52374646681156	2.43949059038968	0.397940008672038
ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	2.08278537031645	3.298525595322	0	0	0	3.19769397508392	0	1.32221929473392	1.36361197989214	0
ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.91275330367132	3.20959543200086	1.98989456371877	0	1.56820172406699	3.25406445291434	1.44247976906445	1.68394713075151	1.95904139232109	0.397940008672038
PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	2.00130093302042	3.31902273343041	2.03901732199741	0	1.27646180417324	3.32217793138498	1.23299611039215	2.21853550521653	0.176091259055681	0.690196080028514
PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	2.12254352406875	3.41279642871654	1.7664128471124	0	1.64048143697042	3.30644647366224	1.25767857486918	1.80002935924413	0.301029995663981	0.732393759822969
