SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Deferribacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0290219533745667	0.502571422098371	9.06228052289359e-05	0	0	0.424137384172727	0	0.0058678266385736	0.0383107909105326	0
ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0210656753407683	0.427955390334572	0	0	0.00252788104089219	0.521982651796778	0.000793060718711276	0.00971499380421314	0.0159603469640644	0
ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0232183964949627	0.450827990791851	0.00722790168073467	0.000470308671006708	0.00222777791529493	0.491175524146637	0.00198024703581772	0.00831703755043442	0.0145548157132602	0
ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0242598784565446	0.447685060893759	0	0	0	0.501134893710492	0	0.0107631855124106	0.0161569814267933	0
ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.00688654418455938	0.411397230625446	0.020462874148405	0	0.00327110848766571	0.521508153176419	0.00191839445141297	0.0043532797166679	0.0300056568041516	0.000196758405273125
ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.00815875922235985	0.400910119015564	0.0189832516559858	0	0.00473908126447305	0.477273951209004	0.00700091550433518	0.00872421778232538	0.073805805374549	0.000403898971403953
ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0322139002979786	0.53354272368527	0	0	0	0.422941665995544	0	0.00536898338299643	0.00593272663821105	0
ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0213063312501648	0.426996809324157	0.0254990375234027	0	0.00949291986393482	0.473063839886085	0.00704058223241832	0.0124726419323366	0.023732299659837	0.000395538327663951
PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0216203270264974	0.45365673104139	0.0236016460188552	0	0.00389731977617627	0.456966186940713	0.00350541052494067	0.0357943782795184	0.000108863680898779	0.000849136711010473
PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0267132185774602	0.52492692432608	0.0116515102305943	0	0.00866758687885677	0.410867976615784	0.00347109451120494	0.0126055537512179	0.0002029879831114	0.000893147125690159
PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0259294566253575	0.459142040038132	0.0297807435653003	0.00106768350810296	0.00446139180171592	0.45906577693041	0.00377502383222116	0.0162440419447092	0.000533841754051478	0
PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.011598448262212	0.335207030322223	0.0935397039030956	0	0.00942126514131898	0.535112025967857	0.00292930092629246	0.00752117805399414	0.000237510885915604	0.00443353653709128
PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0236142807411132	0.507155842648822	0.0109271651259042	0	0.00506711019997679	0.437802189301048	0.0047576683557034	0.0103276215526245	0	0.000348122074807566
PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0193731152334826	0.506479027688934	0.030558347802248	0	0.00343598647537238	0.422571506899388	0.00897377318833958	0.00826098875993786	0	0.000347253952298273
PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0275697611178513	0.450236372003514	0.0172363301677614	0	0.0208969585407689	0.462912605112329	0.00853449357821194	0.00872275446596662	0.000251014517006234	0.00363971049659039
PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0168586387434555	0.47457242582897	0.0986038394415358	0	0.00221640488656195	0.369493891797557	0.0103315881326353	0.0271727748691099	0.000698080279232112	5.23560209424084e-05
PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0346039366298608	0.492309169467115	0.123648583773404	0.0751416226596255	0.0187806048967835	0.206932309169467	0.00103696591454633	0.0395007201152184	0.00804608737397984	0
PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0476513886084546	0.517483801097671	0.0665944675930175	0.00207419372602287	0.0118210686686613	0.316011674223095	0.0121331155123993	0.0148314029258981	0.0109216395308284	0.000477248113952165
PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0348160802716087	0.573730078065869	0.0329779642324244	0.000497372575308695	0.0145319291568454	0.301299656164176	0.00936357935255066	0.0278744891118656	0.00447635317777826	0.000432497891572779
