SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.89407859189647	0	0	0	0	0	0.109144469425068	0	0	0	0.477121254719662	1.5414009255364	0	3.48292460205015
ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.43479693999738	0	0	0.196294645143968	0	0	0	0	0	0	0.330993219041424	1.27217325564151	0	3.14501872605365
ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.80859675530082	0.215599800339355	0.359021942641668	1.38916608436453	0	0	1.33959339080334	0.132625565274591	0	0	0.954242509439325	1.51378816439161	0.433655560938572	3.43700269727159
ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.75966784468963	0	0	0	0	0	0	0	0	0	0.78837041556533	1.5902684665984	0	3.45149037423472
ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.21370744666165	0	0	0.154901959985743	0	0	1.78124232736079	0	0	0	0	1.95767568527772	0	3.43779584664107
ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.29947616759536	0	0.372385904199649	0.646263653820016	0	0.215599800339355	1.71060085470464	0	0	0	0	1.87215627274829	0	3.3988944070785
ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.9088678258509	0	0	0	0	0	0	0	0	0	0	1.43820318868929	0	3.40743946697575
ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	1.72310368405274	0.301029995663981	0	0	0	0	1.84554097170171	0	0	0	0.477121254719662	1.53871732596617	0	3.40692928963853
PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.78837041556533	0.422073688388757	0	0	0	0	1.89447430443583	0	0.507084478097106	0	0.372385904199649	0.83159556961061	0	3.49593068971541
PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.93880553925848	0.330993219041424	0	0	0	0	1.6232492903979	0	0.176091259055681	0	0	1.02413367971672	0	3.52914608520978
PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.6172999578847	0.330993219041424	0	0.26884531229258	0	0	1.75423909297823	0	0.444936571348261	0	0	0.950781977329818	0.215599800339355	3.24690286183618
PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.26549167028499	0.2518119729938	0	0	0	0	2.22990114604994	0	0.433655560938572	0	0	0.94377707576116	0	3.20653676397286
PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.86332286012046	0.858193338104405	0	0	0	0	1.6165505280492	0	0.196294645143968	0	0.301029995663981	1.24126179066049	0	3.5511710676602
PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.82468357519428	0.602059991327962	0	0	0	0	2.08072953461049	0	0.422073688388757	0	0.660051938305649	1.43021331452755	0	3.56700955226479
PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.89684103771494	0.666785320964618	0	0	0	0	1.77711598295204	0	0.2518119729938	0	0	1.16984230977868	0	3.51332225965813
PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	1.71060085470464	0.91832995354868	0	0	0	0	2.60699520900347	0	0.525969822257479	0	0.385350881364017	1.35493122653951	0	3.55717194224601
PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.94200805302231	1.6051510683051	1.65044629753219	2.45744933247323	0.602059991327962	1.4687691803549	2.66363362942889	1.1186897873313	0.660051938305649	0	1.54671888359899	1.58706922942833	0.535113201697349	3.42879406910562
PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2.19073178523857	1.3815018651931	1.41971978299528	2.48511274455727	0.507084478097106	1.06871581236946	2.41521190578066	0.728933227713462	0.234083206033368	0	1.90270205085011	1.52132491721172	1.52411781739589	3.47196191872575
PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.93701610746481	1.34523365815603	1.44270368991597	2.45046905994822	0.385350881364017	1.1822515677605	2.04111058415324	0.516629796003336	0.455931955649724	0	1.55370969018901	1.5041794874537	1.15706802174225	3.42842407298567
