SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0245361245157344	0	0	0	0	0	9.06228052289359e-05	0	0	0	0.000634359636602551	0.0107161467183217	0	0.964022746324112
ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0181908302354399	0	0	0.000396530359355638	0	0	0	0	0	0	0.000793060718711276	0.0122924411400248	0	0.968327137546468
ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.021955989009629	0.000222777791529493	0.000445555583058987	0.00814376593480037	0	0	0.00722790168073467	0.000123765439738607	0	0	0.00277234585014481	0.0109656179608406	0.000594074110745315	0.947548206638778
ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.019305396236546	0	0	0	0	0	0	0	0	0	0.00175725477753643	0.0129597539843311	0	0.965977595001586
ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.00528788214171524	0	0	0.000147568803954844	0	0	0.020462874148405	0	0	0	0	0.0308910696278807	0	0.943210605278044
ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.00713554849480317	0	0.00051160536377834	0.00129247670849265	0	0.000242339382842372	0.0189832516559858	0	0	0	0	0.0277074694383112	0	0.944127308955787
ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.030093151861695	0	0	0	0	0	0	0	0	0	0	0.0099326192585434	0	0.959974228879762
ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	0.0191440550589352	0.000369169105819687	0	0	0	0	0.0254990375234027	0	0	0	0.000738338211639374	0.0123935342668038	0	0.941855865833399
PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0184197348080733	0.000500772932134381	0	0	0	0	0.0236016460188552	0	0.000674954821572427	0	0.000413681987415359	0.00176359163056021	0	0.954625617801389
PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0243991555699903	0.00032478077297824	0	0	0	0	0.0116515102305943	0	0.00014209158817798	0	0	0.00272003897369276	0	0.960762422864566
PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.021582459485224	0.000610104861773117	0	0.000457578646329838	0	0	0.0297807435653003	0	0.000953288846520496	0	0	0.004232602478551	0.000343183984747378	0.942040038131554
PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.00965877602723458	0.000435436624178608	0	0	0	0	0.0935397039030956	0	0.000950043543662418	0	0	0.00431478109413348	0	0.891101258807695
PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0194948361892237	0.00168259002823657	0	0	0	0	0.0109271651259042	0	0.000154720922136696	0	0.000270761613739218	0.00444822651143001	0	0.96302169960933
PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0168326784245636	0.000767613999817235	0	0	0	0	0.030558347802248	0	0.000420360047518962	0	0.000913826190258613	0.00663437814127753	0	0.943872795394316
PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.0228004852947329	0.00106681169727649	0	0	0	0	0.0172363301677614	0	0.000230096640589047	0	0	0.00403715014851692	0	0.954629126051123
PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	0.012303664921466	0.00178010471204188	0	0	0	0	0.0986038394415358	0	0.000575916230366492	0	0.000349040139616056	0.00528795811518325	0	0.881099476439791
PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.023254920787326	0.0105616898703793	0.0117522803648584	0.0768122899663946	0.000806529044647144	0.00764282285165627	0.123648583773404	0.00326452232357177	0.000960153624579933	0	0.00919827172347576	0.0101200192030725	0.000652904464714354	0.72132501200192
PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0396115934580297	0.00592889003102113	0.00649791662842563	0.0782686906881551	0.000569026597404504	0.00275335450357018	0.0665944675930175	0.00111969749811854	0.000183556966904679	0	0.020283044842967	0.00827841920740102	0.00833348629747242	0.761577855687513
PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0258849988106308	0.00640096879527712	0.00808771057241096	0.0851155850615228	0.000432497891572779	0.00430335402114915	0.0329779642324244	0.000691996626516446	0.000562247259044612	0	0.0105313236597972	0.00936357935255066	0.00404385528620548	0.811603918430898
PostsmkFMT3-S126	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0699043705050186	0.0239073737453568	0.00794278036829211	0.0423614952975579	0	0.0014028293685292	0.00764640796649016	0.000177823441081167	0.00116573144708765	0.00335888722042203	0.00292420769777918	0.0012645222476883	0.00209436497273374	0.835849205721963
PostsmkFMT4-S127	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0228564633131169	0.00984659293613985	0.0190510167677488	0.108193602092996	0.000689737186347961	0.0101082173861339	0.0345344273992151	0.000261624449994054	0	0	0.00903793554524914	0.00159353074087287	0.000618385063622309	0.783208467118563
PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0522388059701493	0.0095626518569941	0.00180492884415134	0.0722318639361333	0	0.00331482124262409	0.038753904894134	0.000572717806317251	0	8.67754251995835e-05	0.00348837209302326	0.00432141617493926	0.00525859076709476	0.80836515098924
