Domain	Phylum	Class	Order	Family	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	0.185046101708608	0.000693424702235275	0.0693424702235275	17
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	0.138302698166281	0.000371678126742241	0.0371678126742241	12
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	1.71312287525154	0.0523985001292992	5.23985001292992	1621
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	1.44909253111942	0.0591804731710643	5.91804731710643	868
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	1.49310936010379	0.0660545429628615	6.60545429628615	964
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	1.90915470980843	0.083840167418743	8.3840167418743	2564
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	1.89659510391716	0.0726180407710928	7.26180407710928	2490
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	1.75060480832314	0.0663766594164854	6.63766594164854	1770
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	1.7752007147261	0.0679791168153143	6.79791168153143	1875
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	1.59036806400324	0.0401255990745331	4.01255990745331	1214
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	0.408663874063811	0.00157967900922533	0.157967900922533	50
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	0.0389180660303697	0.000113216091780512	0.0113216091780512	3
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	0.185046101708608	0.000802530330925742	0.0802530330925742	17
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	1.10337605525729	0.0127688630932059	1.27688630932059	374
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	1.37566361396089	0.0285087719298246	2.85087719298246	728
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	1.17336840072021	0.0189160467587673	1.89160467587673	445
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	1.49136169383427	0.0322418136020151	3.22418136020151	960
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	1.0836817472743	0.0107377691982868	1.07377691982868	356
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae	1.24535841653144	0.0219385225582548	2.19385225582548	531
