Domain	Phylum	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota	0.78710609303657	0.00167237722303802	0.167237722303802	41
Bacteria	Actinobacteriota	P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota	0	0	0	0
Bacteria	Actinobacteriota	P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota	0	0	0	0
Bacteria	Actinobacteriota	P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota	0	0	0	0
Bacteria	Actinobacteriota	P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota	0.511883360978874	0.000557517190113362	0.0557517190113362	18
Bacteria	Actinobacteriota	P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota	2.37794338025578	0.0614817688130334	6.14817688130334	1902
Bacteria	Actinobacteriota	P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota	2.05259776332156	0.0610213404240813	6.10213404240813	895
Bacteria	Actinobacteriota	P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota	2.13433651094868	0.0741400575579005	7.41400575579005	1082
Bacteria	Actinobacteriota	P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota	2.55448916000382	0.0935190635014061	9.35190635014061	2860
Bacteria	Actinobacteriota	P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota	2.58799142643124	0.0901163638484645	9.01163638484645	3090
Bacteria	Actinobacteriota	P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota	2.42406452541749	0.079351983799595	7.9351983799595	2116
Bacteria	Actinobacteriota	P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota	2.45541592449829	0.0824813284025814	8.24813284025814	2275
Bacteria	Actinobacteriota	P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota	2.27818178456752	0.0499091059329037	4.99091059329037	1510
Bacteria	Actinobacteriota	P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota	1.10974723771323	0.00300139011752812	0.300139011752812	95
Bacteria	Actinobacteriota	P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota	0	0	0	0
Bacteria	Actinobacteriota	P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota	0.574031267727719	0.000716705759708105	0.0716705759708105	22
Bacteria	Actinobacteriota	P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota	0.138302698166281	0.000113216091780512	0.0113216091780512	3
Bacteria	Actinobacteriota	P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota	0.494850021680094	0.000802530330925742	0.0802530330925742	17
Bacteria	Actinobacteriota	P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota	0	0	0	0
Bacteria	Actinobacteriota	P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota	1.76993092013695	0.0158074428132468	1.58074428132468	463
Bacteria	Actinobacteriota	P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota	2	0.031015037593985	3.1015037593985	792
Bacteria	Actinobacteriota	P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota	1.8187206282206	0.0220616365568544	2.20616365568544	519
Bacteria	Actinobacteriota	P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota	2.12180597311554	0.0352980688497061	3.52980688497061	1051
Bacteria	Actinobacteriota	P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota	1.74429298312268	0.0131507510405984	1.31507510405984	436
Bacteria	Actinobacteriota	P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota	1.86923171973098	0.0241282432655759	2.41282432655759	584
Bacteria	Actinobacteriota	P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota	1.66861884481674	0.017843175596402	1.7843175596402	365
Bacteria	Actinobacteriota	P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota	2.13273983826088	0.0413756045137023	4.13756045137023	1078
Bacteria	Bacteroidota	P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota	1.55630250076729	0.0114211127426986	1.14211127426986	280
Bacteria	Bacteroidota	P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Bacteroidota	1	0.00219091379362809	0.219091379362809	72
