Domain	Phylum	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Actinobacteriota	1.08432088570004	0.00324783477681546	0.324783477681546	78
Bacteria	Actinobacteriota	POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Actinobacteriota	0.359021942641668	0.000549551199853453	0.0549551199853453	9
Bacteria	Actinobacteriota	POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Actinobacteriota	0.98097676268657	0.00259134490800726	0.259134490800726	60
Bacteria	Actinobacteriota	POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Actinobacteriota	0.535113201697349	0.00105806933466111	0.105806933466111	17
Bacteria	Actinobacteriota	POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Actinobacteriota	0.552841968657781	0.00140252454417952	0.140252454417952	18
Bacteria	Actinobacteriota	POSTMC38CT8-S69	WT	MC38-CT8	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Actinobacteriota	0.234083206033368	0.000457038391224863	0.0457038391224863	5
Bacteria	Actinobacteriota	POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota	1.92057051474476	0.0428475786654765	4.28475786654765	576
Bacteria	Actinobacteriota	POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota	2.03969732393472	0.0323997101078569	3.23997101078569	760
Bacteria	Actinobacteriota	POSTMC38SM3A-S73	WT	MC38-SM4	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota	2.05087669234481	0.0141957558329997	1.41957558329997	780
Bacteria	Actinobacteriota	POSTMC38SM3C-S74	WT	MC38-SM5	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota	1.63202321470541	0.00521343036600772	0.521343036600772	293
Bacteria	Actinobacteriota	POSTMC38SM5A-S75	WT	MC38-SM6	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota	2.26346698371858	0.0261460658053684	2.61460658053684	1277
Bacteria	Actinobacteriota	POSTMC38SM5C-S76	WT	MC38-SM7	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota	2.29978737827289	0.0235559474951667	2.35559474951667	1389
Bacteria	Actinobacteriota	POSTMC38SM6C-S77	WT	MC38-SM8	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota	2.54742304991768	0.0405000822503701	4.05000822503701	2462
