Domain	Phylum	Class	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.602059991327962	0.00282866379310345	0.282866379310345	42
Bacteria	Actinobacteriota	Actinobacteria	P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.359021942641668	0.000739523418241578	0.0739523418241578	18
Bacteria	Actinobacteriota	Actinobacteria	P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.477121254719662	0.00184380350322666	0.184380350322666	28
Bacteria	Actinobacteriota	Actinobacteria	P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.154901959985743	0.000281148962091748	0.0281148962091748	6
Bacteria	Actinobacteriota	Actinobacteria	P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.617299957884699	0.00157075539054691	0.157075539054691	44
Bacteria	Actinobacteriota	Actinobacteria	P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.477121254719662	0.00149884909801402	0.149884909801402	28
Bacteria	Actinobacteriota	Actinobacteria	P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.44604872171763	0.0348880251712012	3.48880251712012	377
Bacteria	Actinobacteriota	Actinobacteria	P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.16158188772657	0.0613349551467234	6.13349551467234	2017
Bacteria	Actinobacteriota	Actinobacteria	P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.72486077808234	0.0201158940397351	2.01158940397351	729
Bacteria	Actinobacteriota	Actinobacteria	P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.61804809671209	0.0178005211440053	1.78005211440053	567
Bacteria	Actinobacteriota	Actinobacteria	P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.56820172406699	0.0151006711409396	1.51006711409396	504
Bacteria	Actinobacteriota	Actinobacteria	P731CT5-S135	WT	Pan-CT5	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.33817180366855	0.00833285607926236	0.833285607926236	291
Bacteria	Actinobacteriota	Actinobacteria	P731CT6-S136	WT	Pan-CT6	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.04448376213537	0.0435620553807783	4.35620553807783	1537
Bacteria	Actinobacteriota	Actinobacteria	P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.82930377283102	0.0257281821699	2.57281821699	931
Bacteria	Actinobacteriota	Actinobacteria	P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.56987530795656	0.0223656294200849	2.23656294200849	506
Bacteria	Actinobacteriota	Actinobacteria	P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.84598345210871	0.0374917696270189	3.74917696270189	968
Bacteria	Actinobacteriota	Actinobacteria	P731SA3-S158	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.33674554793052	0.0280464216634429	2.80464216634429	290
Bacteria	Actinobacteriota	Actinobacteria	P731SA5-S160	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.215599800339355	0.000902889245585875	0.0902889245585875	9
Bacteria	Actinobacteriota	Actinobacteria	P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1	0.0051698670605613	0.51698670605613	126
Bacteria	Actinobacteriota	Actinobacteria	P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.176091259055681	0.000398066533977822	0.0398066533977822	7
Bacteria	Actinobacteriota	Actinobacteria	P731SA8-S163	WT	Pan-SA8	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.617299957884699	0.00192551748282351	0.192551748282351	44
Bacteria	Actinobacteriota	Actinobacteria	P731SM1-S138	WT	Pan-SM1	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.05252905127618	0.0465295935345852	4.65295935345852	1566
Bacteria	Actinobacteriota	Actinobacteria	P731SM10-S147	WT	Pan-SM10	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.69146040255727	0.0260372402070617	2.60372402070617	674
Bacteria	Actinobacteriota	Actinobacteria	P731SM2-S139	WT	Pan-SM2	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.9046382755548	0.039527099209458	3.9527099209458	1110
Bacteria	Actinobacteriota	Actinobacteria	P731SM3-S140	WT	Pan-SM3	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.04308145390407	0.040433899020824	4.0433899020824	1532
Bacteria	Actinobacteriota	Actinobacteria	P731SM4-S141	WT	Pan-SM4	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.79239168949825	0.0318300409988818	3.18300409988818	854
Bacteria	Actinobacteriota	Actinobacteria	P731SM5-S142	WT	Pan-SM5	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.85862311991276	0.0350119398791965	3.50119398791965	997
Bacteria	Actinobacteriota	Actinobacteria	P731SM6-S143	WT	Pan-SM6	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.86586507898102	0.0433351852643275	4.33351852643275	1014
Bacteria	Actinobacteriota	Actinobacteria	P731SM7-S144	WT	Pan-SM7	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.75641874363575	0.026834854544833	2.6834854544833	785
Bacteria	Actinobacteriota	Actinobacteria	P731SM8-S145	WT	Pan-SM8	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.67929808208959	0.0465132793637267	4.65132793637267	655
Bacteria	Actinobacteriota	Actinobacteria	P731SM9-S146	WT	Pan-SM9	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.78226781657848	0.0327392635628484	3.27392635628484	834
Bacteria	Actinobacteriota	Actinobacteria	S731ABX1-S90	WT	Pan-ABX1	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.83159556961061	0.00444127645575173	0.444127645575173	81
Bacteria	Actinobacteriota	Actinobacteria	S731ABX2-S91	WT	Pan-ABX2	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.8750612633917	0.00425392670157068	0.425392670157068	91
Bacteria	Actinobacteriota	Actinobacteria	S731ABX3-S92	WT	Pan-ABX3	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.879177829586532	0.00341651812240048	0.341651812240048	92
Bacteria	Actinobacteriota	Actinobacteria	S731ABX4-S93	WT	Pan-ABX4	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.39794000867204	0.0144342297448234	1.44342297448234	336
Bacteria	Actinobacteriota	Actinobacteria	S731CT1-S34	WT	Pan-CT1	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.7514990556122	0.0316838151233056	3.16838151233056	776
Bacteria	Actinobacteriota	Actinobacteria	S731CT2-S35	WT	Pan-CT2	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.11346584320771	0.0509791731426795	5.09791731426795	1804
Bacteria	Actinobacteriota	Actinobacteria	S731CT3-S36	WT	Pan-CT3	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.94307033112691	0.0292002405291642	2.92002405291642	1214
Bacteria	Actinobacteriota	Actinobacteria	S731CT4-S37	WT	Pan-CT4	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.06231332076033	0.0534570208222104	5.34570208222104	1602
