Domain	Phylum	Class	Order	Family	Genus	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.195226269495942	0.00282866379310345	0.282866379310345	42
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.0945561076145791	0.000739523418241578	0.0739523418241578	18
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.139368452030941	0.00184380350322666	0.184380350322666	28
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.0338582672609674	0.000281148962091748	0.0281148962091748	6
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.113039513308592	0.000785377695273454	0.0785377695273454	22
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.139368452030941	0.00149884909801402	0.149884909801402	28
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.784944822146984	0.0348880251712012	3.48880251712012	377
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	1.4511223130867	0.0613349551467234	6.13349551467234	2017
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	1.0354838255477	0.0201158940397351	2.01158940397351	729
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales_/_Bifidobacteriaceae_/_Bifidobacterium	0.937626309787841	0.0178005211440053	1.78005211440053	567
