Domain	Phylum	Class	Order	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.371961166286183	0.00282866379310345	0.282866379310345	42
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.198834386194241	0.000739523418241578	0.0739523418241578	18
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.279490317807871	0.00184380350322666	0.184380350322666	28
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.0768400302327223	0.000281148962091748	0.0281148962091748	6
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.232914175766516	0.000785377695273454	0.0785377695273454	22
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.279490317807871	0.00149884909801402	0.149884909801402	28
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.11929846925561	0.0348880251712012	3.48880251712012	377
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.81996825846952	0.0613349551467234	6.13349551467234	2017
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.38945189844652	0.0201158940397351	2.01158940397351	729
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.28533949015414	0.0178005211440053	1.78005211440053	567
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.23699208818696	0.0151006711409396	1.51006711409396	504
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731CT5-S135	WT	Pan-CT5	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.01649417786156	0.00833285607926236	0.833285607926236	291
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731CT6-S136	WT	Pan-CT6	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.70398436451415	0.0435620553807783	4.35620553807783	1537
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.49181337820354	0.0257281821699	2.57281821699	931
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.23861259186528	0.0223656294200849	2.23656294200849	506
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.50820379439171	0.0374917696270189	3.74917696270189	968
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SA3-S158	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.0151433385706	0.0280464216634429	2.80464216634429	290
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SA5-S160	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.11069829749369	0.000902889245585875	0.0902889245585875	9
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.663974343630789	0.0045954373871656	0.45954373871656	112
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.0884219027825375	0.000398066533977822	0.0398066533977822	7
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SA8-S163	WT	Pan-SA8	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.383699569557427	0.00192551748282351	0.192551748282351	44
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SM1-S138	WT	Pan-SM1	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.71194322230421	0.0465295935345852	4.65295935345852	1566
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SM10-S147	WT	Pan-SM10	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.35682742315713	0.0260372402070617	2.60372402070617	674
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SM2-S139	WT	Pan-SM2	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.56592395058394	0.039527099209458	3.9527099209458	1110
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SM3-S140	WT	Pan-SM3	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.70259728418491	0.040433899020824	4.0433899020824	1532
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SM4-S141	WT	Pan-SM4	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.45558157686355	0.0318300409988818	3.18300409988818	854
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SM5-S142	WT	Pan-SM5	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.52063142082498	0.0350119398791965	3.50119398791965	997
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SM6-S143	WT	Pan-SM6	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.5277545966128	0.0433351852643275	4.33351852643275	1014
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SM7-S144	WT	Pan-SM7	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.42032846491959	0.026834854544833	2.6834854544833	785
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SM8-S145	WT	Pan-SM8	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.34496242187248	0.0465132793637267	4.65132793637267	655
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	P731SM9-S146	WT	Pan-SM9	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.44565441363054	0.0327392635628484	3.27392635628484	834
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	S731ABX1-S90	WT	Pan-ABX1	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	S731ABX2-S91	WT	Pan-ABX2	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	S731ABX3-S92	WT	Pan-ABX3	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.286789556549371	0.00107694592988711	0.107694592988711	29
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	S731ABX4-S93	WT	Pan-ABX4	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.826701641128489	0.00760374602629092	0.760374602629092	177
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	S731CT1-S34	WT	Pan-CT1	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.4155118408878	0.0316838151233056	3.16838151233056	776
