Domain	Phylum	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota	0.716003343634799	0.00282866379310345	0.282866379310345	42
Bacteria	Actinobacteriota	P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota	0.447158031342219	0.000739523418241578	0.0739523418241578	18
Bacteria	Actinobacteriota	P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota	0.57978359661681	0.00184380350322666	0.184380350322666	28
Bacteria	Actinobacteriota	P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota	0.204119982655925	0.000281148962091748	0.0281148962091748	6
Bacteria	Actinobacteriota	P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota	0.732393759822969	0.00157075539054691	0.157075539054691	44
Bacteria	Actinobacteriota	P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota	0.57978359661681	0.00149884909801402	0.149884909801402	28
Bacteria	Actinobacteriota	P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.58771096501891	0.0348880251712012	3.48880251712012	377
Bacteria	Actinobacteriota	P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.3236645356081	0.0637676752318686	6.37676752318686	2097
Bacteria	Actinobacteriota	P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.89707700320942	0.0214955849889625	2.14955849889625	779
Bacteria	Actinobacteriota	P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.82930377283102	0.0208771544281543	2.08771544281543	665
Bacteria	Actinobacteriota	P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.76937732607614	0.0173178331735379	1.73178331735379	578
Bacteria	Actinobacteriota	P731CT5-S135	WT	Pan-CT5	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.50242711998443	0.00881965523165913	0.881965523165913	308
Bacteria	Actinobacteriota	P731CT6-S136	WT	Pan-CT6	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.22089224921952	0.0468497576736672	4.68497576736672	1653
Bacteria	Actinobacteriota	P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.02325245963371	0.0288785718233571	2.88785718233571	1045
Bacteria	Actinobacteriota	P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.73078227566639	0.0233380480905233	2.33380480905233	528
Bacteria	Actinobacteriota	P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.01577875638904	0.0397769084782525	3.97769084782525	1027
Bacteria	Actinobacteriota	P731SA3-S158	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.47712125471966	0.0280464216634429	2.80464216634429	290
Bacteria	Actinobacteriota	P731SA5-S160	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota	0.278753600952829	0.000902889245585875	0.0902889245585875	9
Bacteria	Actinobacteriota	P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.13353890837022	0.0051698670605613	0.51698670605613	126
Bacteria	Actinobacteriota	P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota	0.230448921378274	0.000398066533977822	0.0398066533977822	7
Bacteria	Actinobacteriota	P731SA8-S163	WT	Pan-SA8	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	Bacteria_/_Actinobacteriota	0.806179973983887	0.00236313509255612	0.236313509255612	54
Bacteria	Actinobacteriota	P731SM1-S138	WT	Pan-SM1	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.22608411597582	0.0497088186356073	4.97088186356073	1673
Bacteria	Actinobacteriota	P731SM10-S147	WT	Pan-SM10	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.85853719756964	0.0275052151742254	2.75052151742254	712
Bacteria	Actinobacteriota	P731SM2-S139	WT	Pan-SM2	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.05956341790127	0.0404885691902286	4.04885691902286	1137
Bacteria	Actinobacteriota	P731SM3-S140	WT	Pan-SM3	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.19368102954128	0.0409617567103909	4.09617567103909	1552
Bacteria	Actinobacteriota	P731SM4-S141	WT	Pan-SM4	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.959518376973	0.0335818114051435	3.35818114051435	901
Bacteria	Actinobacteriota	P731SM5-S142	WT	Pan-SM5	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.03221570329798	0.0374701503020087	3.74701503020087	1067
Bacteria	Actinobacteriota	P731SM6-S143	WT	Pan-SM6	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.02325245963371	0.0446600282063336	4.46600282063336	1045
Bacteria	Actinobacteriota	P731SM7-S144	WT	Pan-SM7	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.91539983521227	0.0277920213311455	2.77920213311455	813
Bacteria	Actinobacteriota	P731SM8-S145	WT	Pan-SM8	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.8394780473742	0.0483596080102258	4.83596080102258	681
Bacteria	Actinobacteriota	P731SM9-S146	WT	Pan-SM9	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.93145787068901	0.0331318206799089	3.31318206799089	844
Bacteria	Actinobacteriota	S731ABX1-S90	WT	Pan-ABX1	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	0.959041392321094	0.00444127645575173	0.444127645575173	81
