Domain	Phylum	Class	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.5819821484221	0.0471400411911854	4.71400411911854	5333
Bacteria	Actinobacteriota	Actinobacteria	A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.50476204217807	0.0441847799178096	4.41847799178096	4462
Bacteria	Actinobacteriota	Actinobacteria	A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.7682151214412	0.0702825537023539	7.02825537023539	8196
Bacteria	Actinobacteriota	Actinobacteria	A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.72110367884066	0.0676674428664783	6.76674428664783	7352
Bacteria	Actinobacteriota	Actinobacteria	A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.6036855496147	0.0608675828828242	6.08675828828242	5607
Bacteria	Actinobacteriota	Actinobacteria	A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.64577304433133	0.0739247472632649	7.39247472632649	6179
Bacteria	Actinobacteriota	Actinobacteria	A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.75105904090192	0.0905194700738817	9.05194700738817	7878
Bacteria	Actinobacteriota	Actinobacteria	B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.55022835305509	0.00565381779021175	0.565381779021175	483
Bacteria	Actinobacteriota	Actinobacteria	B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.444936571348261	0.000256771052658607	0.0256771052658607	25
Bacteria	Actinobacteriota	Actinobacteria	B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.2249398265935	0.00188184403685349	0.188184403685349	221
