Domain	Phylum	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota	2.82000430680832	0.0583129292590006	5.83129292590006	6597
Bacteria	Actinobacteriota	A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota	2.71683772329952	0.051492795959796	5.1492795959796	5200
Bacteria	Actinobacteriota	A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota	2.99242095605202	0.0841829953265017	8.41829953265017	9817
Bacteria	Actinobacteriota	A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota	2.94713951764283	0.0813997367670204	8.13997367670204	8844
Bacteria	Actinobacteriota	A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota	2.81716857238106	0.0711478755509238	7.11478755509238	6554
Bacteria	Actinobacteriota	A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota	2.88127050392936	0.0909014775378357	9.09014775378357	7598
Bacteria	Actinobacteriota	A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Actinobacteriota	2.93591013643051	0.0990221874964093	9.90221874964093	8618
Bacteria	Actinobacteriota	B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota	2.21563756343506	0.0191152887192874	1.91152887192874	1633
Bacteria	Actinobacteriota	B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota	1.92324401863028	0.00850425726405308	0.850425726405308	828
Bacteria	Actinobacteriota	B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota	2.37088301677761	0.0199168923176485	1.99168923176485	2339
Bacteria	Actinobacteriota	B3-S12	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota	2.65494622658434	0.0406433697572938	4.06433697572938	4508
Bacteria	Actinobacteriota	B4-S13	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota	2.97662505205073	0.0980912312698182	9.80912312698182	9466
