Domain	Phylum	Class	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.375663613960885	0.000971473990991787	0.0971473990991787	11
Bacteria	Actinobacteriota	Actinobacteria	Neo2-S138	WT	Neo2	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.34488327936986	0.00564311473220248	0.564311473220248	169
Bacteria	Actinobacteriota	Actinobacteria	Neo3-S143	WT	Neo3	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.11809931207799	0.00512143611404435	0.512143611404435	97
