Domain	Phylum	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.885549675006	0.019195072561593	1.9195072561593	455
Bacteria	Actinobacteriota	CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota	2.01072386539177	0.0312179618618003	3.12179618618003	609
Bacteria	Actinobacteriota	CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.86628733908419	0.0219807983830217	2.19807983830217	435
Bacteria	Actinobacteriota	CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.45989485274515	0.0062845745681707	0.62845745681707	167
Bacteria	Actinobacteriota	CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.53571596998551	0.0081463076860413	0.81463076860413	200
Bacteria	Actinobacteriota	CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.46982201597816	0.00813356164383562	0.813356164383562	171
Bacteria	Actinobacteriota	CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.73639650227664	0.0131368937998772	1.31368937998772	321
Bacteria	Actinobacteriota	CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.40936947045282	0.00758935439208246	0.758935439208246	148
Bacteria	Actinobacteriota	CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.28630673884327	0.00745307947692933	0.745307947692933	110
Bacteria	Actinobacteriota	Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota	0.45229767099463	0.000971473990991787	0.0971473990991787	11
Bacteria	Actinobacteriota	Neo2-S138	WT	Neo2	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.46488679830265	0.00564311473220248	0.564311473220248	169
Bacteria	Actinobacteriota	Neo3-S143	WT	Neo3	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.23468597432153	0.00512143611404435	0.512143611404435	97
Bacteria	Actinobacteriota	Neo4-S109	WT	Neo4	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.30102999566398	0.00564775823631409	0.564775823631409	114
Bacteria	Actinobacteriota	Neo5-S114	WT	Neo5	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.39503501802863	0.0057229759474927	0.57229759474927	143
Bacteria	Actinobacteriota	Neo6-S119	WT	Neo6	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.37413709399941	0.00472977672671628	0.472977672671628	136
Bacteria	Actinobacteriota	Neo7-S124	WT	Neo7	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.33243845991561	0.00466686902413113	0.466686902413113	123
Bacteria	Actinobacteriota	Neo8-S129	WT	Neo8	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.65959931243674	0.00983955648566288	0.983955648566288	268
Bacteria	Actinobacteriota	Neo9-S134	WT	Neo9	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.40936947045282	0.0063644964307216	0.63644964307216	148
Bacteria	Actinobacteriota	SMK-Neo1-S139	WT	SMK_Neo1	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Actinobacteriota	0	0	0	0
Bacteria	Actinobacteriota	SMK-Neo3-S110	WT	SMK_Neo3	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Actinobacteriota	0	0	0	0
Bacteria	Actinobacteriota	SMK-Neo4-S115	WT	SMK_Neo4	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Actinobacteriota	0	0	0	0
Bacteria	Actinobacteriota	SMK-Neo5-S120	WT	SMK_Neo5	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Actinobacteriota	0	0	0	0
Bacteria	Actinobacteriota	SMK-Neo6-S125	WT	SMK_Neo6	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Actinobacteriota	0	0	0	0
Bacteria	Actinobacteriota	SMK-Neo7-S130	WT	SMK_Neo7	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Actinobacteriota	0	0	0	0
Bacteria	Actinobacteriota	SMK-Neo8-S135	WT	SMK_Neo8	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Actinobacteriota	0	0	0	0
Bacteria	Actinobacteriota	SMK1-S117	WT	SMK1	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.18563657696191	0.00521528198908429	0.521528198908429	86
Bacteria	Actinobacteriota	SMK10-S123	WT	SMK10	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.28630673884327	0.00474117494935563	0.474117494935563	110
Bacteria	Actinobacteriota	SMK11-S128	WT	SMK11	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.71180722904119	0.0128689743045233	1.28689743045233	303
Bacteria	Actinobacteriota	SMK2-S122	WT	SMK2	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota	1.52720011906298	0.0103791569582716	1.03791569582716	196
