Domain	Phylum	Class	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.89407859189647	0.0245361245157344	2.45361245157344	1083
Bacteria	Actinobacteriota	Actinobacteria	ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.43479693999738	0.0181908302354399	1.81908302354399	367
Bacteria	Actinobacteriota	Actinobacteria	ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.80859675530082	0.021955989009629	2.1955989009629	887
Bacteria	Actinobacteriota	Actinobacteria	ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.75966784468963	0.019305396236546	1.9305396236546	791
Bacteria	Actinobacteriota	Actinobacteria	ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.21370744666165	0.00528788214171524	0.528788214171524	215
Bacteria	Actinobacteriota	Actinobacteria	ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.29947616759536	0.00713554849480317	0.713554849480317	265
Bacteria	Actinobacteriota	Actinobacteria	ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.9088678258509	0.030093151861695	3.0093151861695	1121
Bacteria	Actinobacteriota	Actinobacteria	ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.72310368405274	0.0191440550589352	1.91440550589352	726
Bacteria	Actinobacteriota	Actinobacteria	PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.78837041556533	0.0184197348080733	1.84197348080733	846
Bacteria	Actinobacteriota	Actinobacteria	PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.93880553925848	0.0243991555699903	2.43991555699903	1202
Bacteria	Actinobacteriota	Actinobacteria	PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.6172999578847	0.021582459485224	2.1582459485224	566
Bacteria	Actinobacteriota	Actinobacteria	PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.26549167028499	0.00965877602723458	0.965877602723458	244
