Domain	Phylum	Class	Order	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.61395921462767	0.0245361245157344	2.45361245157344	1083
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.16413245766659	0.0181908302354399	1.81908302354399	367
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.52958243157484	0.021955989009629	2.1955989009629	887
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.48138953951234	0.019305396236546	1.9305396236546	791
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.952451601821444	0.00528788214171524	0.528788214171524	215
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.03401908728943	0.00713554849480317	0.713554849480317	265
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.62857812390297	0.030093151861695	3.0093151861695	1121
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.44543121204171	0.0191440550589352	1.91440550589352	726
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.50965047954658	0.0184197348080733	1.84197348080733	846
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.65818811872747	0.0243991555699903	2.43991555699903	1202
