Domain	Phylum	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.11092624226642	0.0290219533745667	2.90219533745667	1281
Bacteria	Actinobacteriota	ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.63848925695464	0.0210656753407683	2.10656753407683	425
Bacteria	Actinobacteriota	ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.97680833733807	0.0232183964949627	2.32183964949627	938
Bacteria	Actinobacteriota	ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.001733712809	0.0242598784565446	2.42598784565446	994
Bacteria	Actinobacteriota	ControlDonor5-S88	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.46239799789896	0.00688654418455938	0.688654418455938	280
Bacteria	Actinobacteriota	ControlDonor6-S89	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.49554433754645	0.00815875922235985	0.815875922235985	303
Bacteria	Actinobacteriota	ControlDonor7-S90	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.08278537031645	0.0322139002979786	3.22139002979786	1200
Bacteria	Actinobacteriota	ControlDonor8-S91	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.91275330367132	0.0213063312501648	2.13063312501648	808
Bacteria	Actinobacteriota	PostcntrFMT1-S116	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota	2.00130093302042	0.0216203270264974	2.16203270264974	993
Bacteria	Actinobacteriota	PostcntrFMT2-S117	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota	2.12254352406875	0.0267132185774602	2.67132185774602	1316
Bacteria	Actinobacteriota	PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota	1.83884909073726	0.0259294566253575	2.59294566253575	680
Bacteria	Actinobacteriota	PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota	1.48144262850231	0.011598448262212	1.1598448262212	293
Bacteria	Actinobacteriota	PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota	2.09025805293132	0.0236142807411132	2.36142807411132	1221
Bacteria	Actinobacteriota	PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota	2.02938377768521	0.0193731152334826	1.93731152334826	1060
Bacteria	Actinobacteriota	PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota	2.123198075032	0.0275697611178513	2.75697611178513	1318
Bacteria	Actinobacteriota	PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota	1.98944981766669	0.0168586387434555	1.68586387434555	966
Bacteria	Actinobacteriota	PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	2.25815819334079	0.0346039366298608	3.46039366298608	1802
Bacteria	Actinobacteriota	PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	2.41597441137657	0.0476513886084546	4.76513886084546	2596
Bacteria	Actinobacteriota	PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	2.20951501454263	0.0348160802716087	3.48160802716087	1610
Bacteria	Actinobacteriota	PostsmkFMT3-S126	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	2.68430664607163	0.0953133644195053	9.53133644195053	4824
Bacteria	Actinobacteriota	PostsmkFMT4-S127	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	2.14612803567824	0.033059816862885	3.3059816862885	1390
Bacteria	Actinobacteriota	PostsmkFMT5-S128	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	2.56157836830096	0.0630683790350573	6.30683790350573	3634
Bacteria	Actinobacteriota	PostsmkFMT6-S129	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	2.42569721336259	0.046155450863133	4.6155450863133	2655
Bacteria	Actinobacteriota	PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	1.93751789201735	0.0243416936813968	2.43416936813968	856
Bacteria	Actinobacteriota	PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	1.80071707828238	0.0138477636529599	1.38477636529599	622
Bacteria	Actinobacteriota	PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota	2.38345629652475	0.0476671219589445	4.76671219589445	2408
Bacteria	Actinobacteriota	PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.78675142214556	0.00983306654470615	0.983306654470615	602
Bacteria	Actinobacteriota	PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.16016829295851	0.0253939061698704	2.53939061698704	1436
Bacteria	Actinobacteriota	PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.81424759573192	0.0150516962464539	1.50516962464539	642
Bacteria	Actinobacteriota	PrecntrlFMT4-S103	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.02284061087653	0.0242042055966429	2.42042055966429	1044
Bacteria	Actinobacteriota	PrecntrlFMT5-S104	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.03422726077055	0.0174345796672467	1.74345796672467	1072
Bacteria	Actinobacteriota	PrecntrlFMT6-S105	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.17926446433903	0.0248946827213321	2.48946827213321	1501
Bacteria	Actinobacteriota	PrecntrlFMT7-S106	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.04020662757471	0.0225776300758126	2.25776300758126	1087
Bacteria	Actinobacteriota	PrecntrlFMT8-S107	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.03422726077055	0.0225679459379803	2.25679459379803	1072
Bacteria	Actinobacteriota	PresmokeFMT1-S108	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	2.04099769242349	0.0334510827829826	3.34510827829826	1089
Bacteria	Actinobacteriota	PresmokeFMT2-S109	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.97818051693741	0.0237488327486561	2.37488327486561	941
Bacteria	Actinobacteriota	PresmokeFMT3-S110	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.93348728784871	0.0271568564657657	2.71568564657657	848
Bacteria	Actinobacteriota	PresmokeFMT4-S111	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	Bacteria_/_Actinobacteriota	1.95472479097906	0.0238989324607049	2.38989324607049	891
