"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium"	0.422394084016647	0.0433879433621909	"CSE"	0.486827079883593
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus"	0.0295703386817188	0.278189166126729	"Control"	0.0543454873069426
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides"	0.55690734307214	0.0235028046564601	"Control"	0.620814743096812
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter"	3.88012085475509e-16	0.989102052426779	"Control"	1.64651982782527e-14
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae"	1.47737446091834e-06	0.796160250893925	"CSE"	9.13286030385881e-06
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum"	3.05268374261243e-05	0.697058367892814	"Control"	0.000129739059061028
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella"	9.31527589136669e-06	0.740512083442224	"Control"	4.2229250707529e-05
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella"	0.00330933976036518	0.447728312677823	"Control"	0.0090014041481933
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella"	2.01643274026947e-14	0.981553481147094	"Control"	3.42793565845809e-13
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotellaceae_UCG.001"	5.76875148016657e-06	0.756280538991977	"Control"	3.01750077424097e-05
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes"	0.769388878245246	0.00590654353297625	"Control"	0.817475683135574
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella"	1.77348312409542e-14	0.981866220965766	"Control"	3.42793565845809e-13
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group"	1.09856844429774e-08	0.893253242756749	"Control"	1.24504423687077e-07
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides"	1.61787789114954e-06	0.793712552033448	"Control"	9.16797471651407e-06
"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter"	4.84270537595667e-16	0.988775457218771	"Control"	1.64651982782527e-14
"d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum"	1.14235395781398e-06	0.802935553006454	"Control"	7.76800691313507e-06
