"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium"	0.0706000948909448	0.189963309208686	"Control"	0.14120018978189
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus"	0.186577882170264	0.106359667664315	"Control"	0.26120903503837
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides"	3.45273409427946e-05	0.668029730516172	"CSE"	0.000805637955331874
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter"	0.0247077979809985	0.277461082614282	"Control"	0.0809947407147571
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae"	0.495972060697065	0.0294459543376459	"CSE"	0.577587143489491
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum"	9.45948707088007e-05	0.624791436407985	"Control"	0.00165541023740401
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella"	1.81542658512234e-06	0.768545183373036	"Control"	6.35399304792819e-05
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella"	0.0895505768162084	0.169539176307302	"Control"	0.164961588871963
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella"	0.0254554899389237	0.275056192705711	"Control"	0.0809947407147571
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotellaceae_UCG.001"	0.000183964829738915	0.59336692158754	"Control"	0.00257550761634481
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes"	0.307618946466021	0.0649039850163843	"CSE"	0.391515022774936
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella"	0.0231444912451896	0.28271501660474	"Control"	0.0809947407147571
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group"	0.0415045553170989	0.234902854457687	"Control"	0.111743033546036
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides"	0.0266273207954739	0.271415691176498	"Control"	0.081039671986225
"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter"	0.0212807299262136	0.289425393615352	"Control"	0.0809947407147571
"d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum"	0.0244200823057645	0.278404490312398	"Control"	0.0809947407147571
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio"	0.030226526023285	0.261097153263886	"Control"	0.0846342728651981
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma"	0.241031226063717	0.0848010000020886	"Control"	0.312447885638152
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__"	0.110470213495641	0.151424434760286	"Control"	0.168899754703129
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium"	0.76475850297801	0.00575726643569171	"Control"	0.76475850297801
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella"	0.103258030505118	0.157254254296455	"Control"	0.168899754703129
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix"	0.222615639566917	0.0914349475013904	"Control"	0.305550877836944
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum"	0.396021699537828	0.0453836609003143	"CSE"	0.486342438028912
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter"	0.000258917825123097	0.576267433296614	"CSE"	0.00302070795976946
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus"	0.0935477937104427	0.165775348942997	"Control"	0.165898869175393
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus"	0.0166622886751535	0.308729543901086	"Control"	0.0686094239565145
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae.g__Ureaplasma"	0.0615699560570597	0.20164672063937	"Control"	0.132932249239345
"d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39.g__RF39"	0.00359904270797012	0.420590719614186	"CSE"	0.0279925543953232
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014.g__Clostridia_UCG.014"	0.0073147159469919	0.37080588311766	"CSE"	0.0382448715149331
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group"	0.550361779436512	0.0227351470993202	"CSE"	0.601958196258685
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus_Arthromitus"	0.0620762576872683	0.200949378090658	"Control"	0.132932249239345
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae.g__Defluviitaleaceae_UCG.011"	0.0626680603556911	0.200141146462067	"Control"	0.132932249239345
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__"	0.107824608950894	0.153517761292901	"Control"	0.168899754703129
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2"	0.00819532961034282	0.362505977053579	"CSE"	0.0382448715149331
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356"	0.108819710284992	0.152724446757368	"Control"	0.168899754703129
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor"	0.00643547078601509	0.380050463662082	"CSE"	0.0375402462517547
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia"	0.000813970297311928	0.51393197512247	"CSE"	0.00813970297311928
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575"	0.00573641863231947	0.388255610394043	"CSE"	0.0365044822056694
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium"	0.507502168064914	0.0279222828393085	"Control"	0.577587143489491
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group"	0.0461400186022018	0.226042150872081	"CSE"	0.117187772045121
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.001"	0.504526136578249	0.0283100966915862	"Control"	0.577587143489491
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006"	0.0782539756885763	0.181138761433756	"Control"	0.152160508283343
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia"	0.0148494726397088	0.317685565399965	"CSE"	0.0649664427987261
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia"	0.234186118054376	0.0871986819990825	"CSE"	0.309302420071818
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella"	0.391434253015947	0.0462515638903773	"Control"	0.486342438028912
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._ventriosum_group"	0.0468751088180485	0.224714825443571	"CSE"	0.117187772045121
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._xylanophilum_group"	0.56329134559256	0.0213080796436669	"CSE"	0.605123949127574
