"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota"	0.520727537568881	0.0280255877170923	"CSE"	0.699298830460847
"d__Bacteria.p__Bacteroidota"	0.629368947414763	0.0159248539704803	"Control"	0.699298830460847
"d__Bacteria.p__Campilobacterota"	1.97586943010104e-18	0.994608104315841	"Control"	1.97586943010104e-17
"d__Bacteria.p__Deferribacterota"	4.22833123004429e-09	0.905936046468339	"Control"	2.11416561502214e-08
"d__Bacteria.p__Desulfobacterota"	0.204130472927469	0.105160292369408	"Control"	0.340217454879115
"d__Bacteria.p__Firmicutes"	0.560802098047966	0.0230471085954124	"Control"	0.699298830460847
"d__Bacteria.p__Patescibacteria"	0.00615711229816067	0.403353981274973	"CSE"	0.0153927807454017
"d__Bacteria.p__Proteobacteria"	0.908802290515548	0.000903988024473327	"Control"	0.908802290515548
"d__Bacteria.p__Verrucomicrobiota"	0.000208594201589968	0.611445353637607	"CSE"	0.000695314005299893
"Other"	0.129755356948548	0.146269767280081	"CSE"	0.259510713897096
