"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota"	0.0563321128761155	0.209201296263568	"Control"	0.112664225752231
"d__Bacteria.p__Bacteroidota"	0.144460061143239	0.128277672453263	"Control"	0.206371515918913
"d__Bacteria.p__Campilobacterota"	0.020409798034393	0.292749176050652	"Control"	0.05966435860534
"d__Bacteria.p__Deferribacterota"	0.0231296377959881	0.282766492016127	"Control"	0.05966435860534
"d__Bacteria.p__Desulfobacterota"	0.023865743442136	0.280251514992254	"Control"	0.05966435860534
"d__Bacteria.p__Firmicutes"	0.702726158477164	0.0093477883793233	"CSE"	0.780806842752405
"d__Bacteria.p__Patescibacteria"	0.0840989158595281	0.17494696279236	"Control"	0.14016485976588
"d__Bacteria.p__Proteobacteria"	0.827328146959162	0.00306339105408742	"Control"	0.827328146959162
"d__Bacteria.p__Verrucomicrobiota"	1.83702547507548e-05	0.692616874980926	"CSE"	0.000183702547507548
"Other"	0.427150782081238	0.0398402579612309	"CSE"	0.533938477601548
