"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium"	3.8810822398655e-07	0.849776456176208	"CSE"	1.06729761596301e-05
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus"	0.00160513011769433	0.520575171815051	"CSE"	0.00802565058847165
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides"	0.000549757516375506	0.585792284526555	"CSE"	0.0043195233429504
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae"	0.00728405278499138	0.412698089631292	"CSE"	0.0250389314484079
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum"	0.0181820720570691	0.3379536390406	"Control"	0.0434788679625567
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes"	0.0149575538295447	0.354506033956816	"CSE"	0.0391745457440456
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma"	0.0339220091139633	0.282989265899193	"CSE"	0.0733199268624068
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium"	0.00907212641367558	0.395418126902923	"CSE"	0.0293509972207151
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella"	8.54838953507386e-05	0.679692578098651	"CSE"	0.00156720474809688
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum"	0.781745137125931	0.00566540510662933	"CSE"	0.845802866982884
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter"	0.780304169649947	0.00574221445591972	"CSE"	0.845802866982884
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus"	0.166172846005074	0.132249538499419	"Control"	0.240973118363009
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae.g__Ureaplasma"	0.0966920649666018	0.184637928875337	"CSE"	0.166985899261618
"d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39.g__RF39"	0.11592351295585	0.167106881804121	"CSE"	0.193205854926416
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014.g__Clostridia_UCG.014"	0.000467354507351813	0.59492370089059	"CSE"	0.00428408298405829
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group"	0.00187765252584663	0.510276045424325	"CSE"	0.00860590741013039
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium_sensu_stricto_1"	0.450908726982474	0.0411944763443753	"CSE"	0.563635908728092
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__"	0.624492158947268	0.0175790147992352	"Control"	0.763268194268883
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2"	0.274660335910371	0.0845228673630861	"CSE"	0.377657961876761
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356"	0.0346603290622287	0.281037404073518	"CSE"	0.0733199268624068
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor"	0.813678000044537	0.00410327850691154	"Control"	0.845802866982884
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia"	0.0103891850973702	0.384539040398767	"CSE"	0.0300739568608084
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575"	0.31324138032941	0.0724990083003364	"CSE"	0.420201851661403
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium"	0.00211328141225556	0.502379837624514	"CSE"	0.00894080597492736
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group"	0.00104110665961566	0.547989689735473	"CSE"	0.00633234840215788
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.001"	0.166490518141715	0.132065184129497	"Control"	0.240973118363009
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006"	0.408307298667708	0.0493446995216919	"CSE"	0.52225352155172
