"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium"	0.00021339190427921	0.636400366637508	"Control"	0.00192052713851289
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella"	8.43572276204592e-06	0.768213779624908	"Control"	0.000151843009716827
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__"	0.0820510711914192	0.200427676371692	"CSE"	0.142927672397956
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus"	0.473631450864361	0.0372927853292832	"Control"	0.568357741037234
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides"	0.517859547117486	0.0304762101406315	"Control"	0.607922077050962
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter"	2.15215815696606e-14	0.98606347183119	"CSE"	1.16216540476167e-12
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae"	0.0318184539074941	0.288772053168503	"Control"	0.0715915212918617
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes"	0.157944808015714	0.13715531585226	"CSE"	0.230514044131043
"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter"	0.387432679902686	0.0537845280718144	"CSE"	0.486543365459187
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio"	0.0662386077210532	0.220851063193043	"Control"	0.121718305578046
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma"	0.00155258433903315	0.522735629267885	"Control"	0.00838395543077902
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium"	0.567742176135388	0.0238753720232768	"CSE"	0.638709948152311
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum"	0.00686331073485467	0.417309713619788	"Control"	0.0247079186454768
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter"	0.0676212808766921	0.218889646559189	"Control"	0.121718305578046
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus"	0.652212671833001	0.0149226255286543	"Control"	0.704389685579641
"d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39.g__RF39"	0.378761269835831	0.0557244273133716	"Control"	0.486543365459187
"d__Bacteria.p__Firmicutes.c__Clostridia.__.__.__"	0.0571042009260216	0.23487167474132	"CSE"	0.114208401852043
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014.g__Clostridia_UCG.014"	0.104005555937551	0.177599769990183	"Control"	0.175509375644617
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group"	0.000866335561420125	0.559184448387498	"CSE"	0.00584776503958584
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae.g__Defluviitaleaceae_UCG.011"	0.632040524442691	0.0168297451976359	"CSE"	0.696534455508271
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__"	0.766794680587179	0.00648937179833846	"Control"	0.796286783686686
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2"	0.0183362884067718	0.33723029221746	"CSE"	0.0521025490381003
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356"	0.879962752160246	0.00168674335581381	"Control"	0.879962752160246
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor"	0.0192972403844816	0.332842957657094	"CSE"	0.0521025490381003
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia"	0.0238540943577804	0.314404916826119	"CSE"	0.0585509588781882
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575"	0.000366642826276228	0.608219196477445	"CSE"	0.00282838751698804
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium"	0.211407308922464	0.10913823421488	"Control"	0.292717812354181
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group"	6.86699348069662e-05	0.689298642417325	"CSE"	0.000741635295915235
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.001"	0.538615658118043	0.0275987122825104	"Control"	0.618835011454773
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006"	0.00298979773931794	0.478540130207318	"Control"	0.0145351132092403
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia"	0.0559067492608409	0.236863948134013	"Control"	0.114208401852043
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia"	0.235688990139775	0.0988271106981077	"CSE"	0.318180136688697
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella"	0.184686429083686	0.122073525950147	"CSE"	0.26244913606629
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tyzzerella"	0.151243483006609	0.141348444845807	"CSE"	0.226865224509914
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._ventriosum_group"	2.78401008790218e-06	0.801649110503623	"CSE"	7.51682723733588e-05
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._xylanophilum_group"	0.0289376345216606	0.297287584683409	"Control"	0.0679405332247685
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus"	0.13243439916715	0.154209163508516	"Control"	0.204327358715031
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009"	0.0137242186535317	0.361700021263853	"CSE"	0.0435945768994537
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__"	0.00509509897570398	0.43994082637239	"CSE"	0.0196525246205725
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter"	0.012071130727629	0.372311915757314	"CSE"	0.0407400662057479
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214_group"	0.754071573778132	0.00723827739278077	"Control"	0.796286783686686
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter"	0.00323002515760896	0.473093289207422	"CSE"	0.0145351132092403
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UCG.005"	0.817272280241368	0.00394399174750494	"CSE"	0.832692511944036
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae_Sedis"	0.0428564284704604	0.261616480567132	"CSE"	0.0925698854961944
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcaceae"	0.122010026725409	0.162151578207613	"CSE"	0.193780630681532
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruminococcus"	0.00112915491066499	0.542960947146932	"CSE"	0.00677492946398992
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__UCG.010"	0.466707184527856	0.0384512776551265	"Control"	0.568357741037234
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group.g__.Eubacterium._coprostanoligenes_group"	0.0203274781887099	0.328353393638652	"Control"	0.0522706581995399
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_UCG.001"	0.0147204546936894	0.355846566130627	"CSE"	0.0441613640810681
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium._nodatum_group"	0.0647241424084868	0.223044362604062	"Control"	0.121718305578046
"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella"	0.34988546499629	0.0626271882827128	"CSE"	0.460824758775602
"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas"	0.111023208697655	0.171286816255966	"Control"	0.181674341505254
"d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia"	0.00463678771826676	0.446942105147495	"CSE"	0.0192605028297235
"Other"	3.98946691702768e-05	0.711934327524452	"CSE"	0.000538578033798737
