"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium"	0.031867689021802	0.256766955801932	"Smoke"	0.0581585324647887
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella"	0.000141598299711119	0.606020153040347	"Smoke"	0.000574259771050648
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus"	0.0100659329650235	0.347271748533649	"Control"	0.0209946601841919
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides"	0.117039271894479	0.146435785391335	"Smoke"	0.170877336965939
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter"	7.93952226842626e-05	0.632674498585817	"Control"	0.000386390083730078
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae"	0.119583758296191	0.144578471777675	"Control"	0.171168908933763
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum"	3.52243641374221e-06	0.748902612313292	"Control"	2.6436483069277e-05
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella"	1.26741695202292e-10	0.929292656899809	"Smoke"	3.08404791658912e-09
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella"	0.0061774374274317	0.382980816401705	"Smoke"	0.0136652403697731
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella"	3.2196230747773e-16	0.98582594532119	"Smoke"	2.35032484458743e-14
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotellaceae_UCG.001"	3.47646376073295e-05	0.667752722152349	"Control"	0.000181272753238218
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes"	0.238254687777581	0.0857642360369673	"Smoke"	0.285124462422351
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella"	3.62143603688726e-06	0.748046655913891	"Smoke"	2.6436483069277e-05
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group"	0.000738550184600494	0.519536115230982	"Control"	0.00215656653903344
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides"	4.18742728053063e-12	0.953765461726888	"Smoke"	1.52841095739368e-10
"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter"	0.0652943424046735	0.196640515362421	"Smoke"	0.103619282511765
"d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum"	0.00430240055562202	0.408384760144828	"Smoke"	0.0104691746853469
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila"	0.000581752858133989	0.533039443465281	"Control"	0.00184643298451223
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio"	0.00154188150061772	0.475606802668504	"Control"	0.00416879072389234
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma"	0.0414373754849989	0.235038002361696	"Control"	0.0737787417171932
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__"	0.370326979879213	0.0504285244692315	"Smoke"	0.415905685095117
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium"	0.315390678591759	0.062918467736991	"Smoke"	0.365452691066641
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella"	0.654072813804942	0.0128644500733998	"Control"	0.691990078373344
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix"	0.198804153102186	0.100970451919956	"Smoke"	0.250219020283786
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum"	0.00556382328744178	0.390420245698888	"Control"	0.0126924718744765
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter"	1.38749952272289e-08	0.873265866684976	"Control"	1.68812441931285e-07
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus"	0.362933166342292	0.051966872429088	"Smoke"	0.413970642859177
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae.g__Ureaplasma"	0.0533167045401153	0.21386039393591	"Smoke"	0.0905144053820561
"d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39.g__RF39"	5.1181752111045e-07	0.801968045408509	"Control"	5.33752557729469e-06
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.f__Hungateiclostridiaceae.g__Ruminiclostridium"	0.000619230846883899	0.529540988452721	"Control"	0.00188349382593853
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014.g__Clostridia_UCG.014"	1.00715853681832e-05	0.71439069248701	"Control"	6.12688109897812e-05
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group"	0.00141663031828247	0.480841970464515	"Control"	0.0039774620474854
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus_Arthromitus"	0.209534465375053	0.0965272613593853	"Control"	0.259254508006422
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium_sensu_stricto_1"	8.28778070101426e-06	0.721125668843799	"Control"	5.50007264703674e-05
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae.g__Defluviitaleaceae_UCG.011"	0.057423559598636	0.207573297030613	"Control"	0.0952709056977371
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__"	8.7723658178161e-07	0.788367527135298	"Smoke"	8.00478380875719e-06
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2"	0.703469281572576	0.00929902029594556	"Smoke"	0.727239825415516
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356"	3.49999111083037e-10	0.91976549118214	"Smoke"	6.38748377726542e-09
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor"	0.127631145673449	0.13895594432971	"Control"	0.17917449296465
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia"	0.707315446637009	0.00904891376417498	"Smoke"	0.727239825415516
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575"	0.00215444165725127	0.454471410432	"Control"	0.00542324968894285
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium"	0.000274547672332557	0.573267685947397	"Control"	0.000970828674094016
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_FCS020_group"	0.18652850638489	0.106382191163914	"Control"	0.243153231537446
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group"	0.0146964876378239	0.318486549821647	"Smoke"	0.0297519067466497
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.001"	0.0777206666487555	0.181725932737718	"Control"	0.120715077986365
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006"	0.00161154109978884	0.472857611358125	"Control"	0.00420151786730661
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia"	0.0846017198231492	0.174434070392381	"Control"	0.126039296879386
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia"	0.981578265226279	3.43790227506867e-05	"Smoke"	0.982832245034886
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella"	0.0154670737277483	0.314526982658271	"Control"	0.0297519067466497
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium._ventriosum_group"	0.00936683068610998	0.352638147601102	"Control"	0.0201111364731185
