"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium"	0.564007764878663	0.0243331099826121	"Smoke"	0.632372342439713
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella"	0.154535733196491	0.139265221054658	"Smoke"	0.211771189935932
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus"	0.00126737011738911	0.535719575460616	"Control"	0.00275839378490571
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides"	0.805362589143124	0.00448450764852943	"Control"	0.876423994067517
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter"	2.387493688999e-07	0.859749333078318	"Control"	1.96305036651029e-06
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae"	6.66235042082674e-09	0.915560586965577	"Control"	1.23253482785295e-07
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum"	5.72098419232598e-05	0.697094163041274	"Control"	0.000225701204242369
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella"	1.38133112272291e-08	0.906349072841715	"Smoke"	2.0443700616299e-07
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella"	0.0899575484389512	0.191591894068903	"Smoke"	0.130526638911419
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella"	4.5880613195079e-08	0.888962841606102	"Smoke"	4.85023625205121e-07
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotellaceae_UCG.001"	4.67725456017825e-10	0.942122446101564	"Control"	3.08039844170879e-08
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes"	0.0187280667559598	0.33541707509084	"Control"	0.0329970699985959
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella"	3.81221156003312e-08	0.891841210789412	"Smoke"	4.70172759070752e-07
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group"	0.000296197241211051	0.619566576647635	"Control"	0.000876743833984712
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides"	7.39390326394351e-07	0.835459018220638	"Smoke"	4.974080377562e-06
"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter"	0.214529837446452	0.107741971722366	"Smoke"	0.278512420544516
