"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota"	0.0144434395575139	0.319828343841398	"Smoke"	0.0361085988937847
"d__Bacteria.p__Bacteroidota"	0.253662332533799	0.0805717504033543	"Smoke"	0.253662332533799
"d__Bacteria.p__Campilobacterota"	0.06759959109788	0.193677510370849	"Smoke"	0.112665985163133
"d__Bacteria.p__Deferribacterota"	0.000573972227619662	0.533790792831379	"Smoke"	0.00286986113809831
"d__Bacteria.p__Desulfobacterota"	0.00477206407998978	0.401200306439136	"Smoke"	0.0159068802666326
"d__Bacteria.p__Firmicutes"	0.0929388572538826	0.166338410666111	"Control"	0.118906826744112
"d__Bacteria.p__Patescibacteria"	0.125457994421261	0.140438220576441	"Control"	0.139397771579179
"d__Bacteria.p__Proteobacteria"	0.0279541781745187	0.267468832613599	"Smoke"	0.0559083563490373
"d__Bacteria.p__Verrucomicrobiota"	3.61499027958633e-08	0.857295100689398	"Smoke"	3.61499027958633e-07
"Other"	0.0951254613952898	0.164333143141167	"Control"	0.118906826744112
