"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota"	0.633795855004352	0.016658324828967	"Smoke"	0.641658348768322
"d__Bacteria.p__Bacteroidota"	1.11898055304263e-05	0.758846682489869	"Control"	3.72993517680877e-05
"d__Bacteria.p__Campilobacterota"	0.207975046744622	0.110698882366359	"Smoke"	0.259968808430778
"d__Bacteria.p__Deferribacterota"	5.8986221541389e-06	0.779566051692185	"Smoke"	2.94931107706945e-05
"d__Bacteria.p__Desulfobacterota"	0.101436875584586	0.180015209531771	"Control"	0.169061459307643
"d__Bacteria.p__Firmicutes"	0.000181236164155524	0.644519010852198	"Control"	0.00045309041038881
"d__Bacteria.p__Patescibacteria"	9.58008994146029e-09	0.911090487370752	"Control"	9.58008994146029e-08
"d__Bacteria.p__Proteobacteria"	0.641658348768322	0.0159033831391038	"Smoke"	0.641658348768322
"d__Bacteria.p__Verrucomicrobiota"	0.0382863275064254	0.271973842255583	"Smoke"	0.0765726550128509
"Other"	0.181729393432305	0.123625436930323	"Control"	0.259613419189008
