"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium"	0.0322073761136445	0.270868521056482	"Control"	0.123962034722651
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae_UCG.002"	0.533588949124713	0.0263562928744717	"Control"	0.664799346450462
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella"	0.0635332203063733	0.211106068831887	"Control"	0.201188530970182
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__"	0.256143864869902	0.0850211366827671	"Control"	0.463498422145537
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus"	0.00114684199487943	0.516792813149377	"NNK"	0.0145266652684728
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides"	0.000311623685691948	0.590860588772683	"NNK"	0.00592085002814701
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter"	0.0513472903243966	0.230107929076555	"NNK"	0.17738154839337
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae"	0.485594186932613	0.0329576937317062	"NNK"	0.625511156048789
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum"	0.00861989224624257	0.378072347110991	"NNK"	0.0545926508928696
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella"	3.85139553409956e-05	0.687760502289955	"NNK"	0.00141820409098894
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella"	0.529256678104521	0.0269107952119545	"Control"	0.664799346450462
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella"	0.819543413058194	0.00358067449346419	"NNK"	0.889789991320325
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotellaceae_UCG.001"	0.362481713039718	0.0555459645720185	"Control"	0.500883821654882
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes"	0.952462074443469	0.000244926490655687	"Control"	0.964078228013937
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella"	0.886418156086372	0.00140525378424708	"Control"	0.910375403548165
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group"	0.304345188251059	0.070124261689571	"NNK"	0.496893750616172
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides"	0.00139117552790618	0.504817337303042	"NNK"	0.0151041914458385
"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter"	0.195592362854434	0.108998793465546	"Control"	0.412917210470472
"d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum"	0.315179283906197	0.0671590451860686	"NNK"	0.496893750616172
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila"	0.124509561814127	0.150037337484868	"NNK"	0.315424223262455
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio"	0.354219042927157	0.0574317741013262	"NNK"	0.500883821654882
