"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium"	2.54899910305693e-05	0.657353219618128	"Control"	9.15322405188624e-05
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae_UCG.002"	0.00313688971589844	0.410164821433387	"Control"	0.00635421250143529
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella"	0.00666418303265752	0.359456271372699	"NNK"	0.0112014991399988
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__"	0.00597390839848437	0.367031701370378	"Control"	0.0104875280773392
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus"	0.515060715691743	0.0253430800363317	"NNK"	0.542530620528636
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides"	4.62837020487687e-06	0.718401346440839	"NNK"	2.15083085991337e-05
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter"	1.45653649024643e-13	0.962537390461121	"Control"	2.30132765458936e-12
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae"	0.00416435178818355	0.391508418685139	"NNK"	0.00765078584340699
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum"	1.18799831546255e-06	0.759355316123312	"NNK"	6.70370478011009e-06
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella"	1.14184476284269e-17	0.987664393712083	"Control"	2.25514340661432e-16
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella"	2.86360132573801e-05	0.652752416659788	"Control"	9.83584803188272e-05
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella"	3.55910021612148e-18	0.989244361629579	"Control"	1.40584458536799e-16
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotellaceae_UCG.001"	1.89699322902837e-11	0.933671691195333	"Control"	1.87328081366552e-10
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes"	4.3166017111555e-09	0.874822037348711	"Control"	3.78901705756983e-08
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella"	2.64798599275235e-07	0.79779886944674	"Control"	1.90173539479487e-06
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group"	1.23954020587724e-12	0.951833172084249	"Control"	1.3989096609186e-11
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides"	1.81684721708664e-13	0.961552467164972	"Control"	2.39218216916407e-12
"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter"	1.66891864260056e-08	0.853423977312223	"Control"	1.31844572765445e-07
"d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum"	4.46958726166934e-05	0.634597826164698	"Control"	0.000135806689873799
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila"	0.0580882312625852	0.195413206958642	"NNK"	0.0752290208154792
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio"	0.00800639392821035	0.346579427378062	"NNK"	0.0126501024065724
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma"	0.0574554766530551	0.196299235412083	"NNK"	0.0752290208154792
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__"	0.689590957739217	0.00961718870750415	"NNK"	0.716811653439449
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium"	0.431833846535472	0.0367352403368415	"Control"	0.46101180913922
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.__"	0.0779081298823268	0.171541693314843	"Control"	0.0961678478234971
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella"	1.9827268346979e-19	0.99234105301971	"Control"	1.56635419941134e-17
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix"	0.0717075259488986	0.178306905580514	"Control"	0.0899189611105237
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum"	0.405826682561696	0.0409909777794807	"Control"	0.439182300306493
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter"	0.0186694874105338	0.28455464439563	"Control"	0.0278281038760786
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus"	0.000874160886929047	0.488233933856905	"NNK"	0.00197310600192556
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus"	0.000141810392783664	0.583195117208773	"Control"	0.000373434034330316
