"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota"	0.0376508074126114	0.257365597085595	"Control"	0.0630166776877352
"d__Bacteria.p__Bacteroidota"	0.00880715184772186	0.376428007832147	"NNK"	0.0277690449434658
"d__Bacteria.p__Campilobacterota"	0.194810557810687	0.109359211851586	"Control"	0.243513197263359
"d__Bacteria.p__Deferribacterota"	0.298539608906982	0.0717659892120707	"NNK"	0.331710676563313
"d__Bacteria.p__Desulfobacterota"	0.0111076179773863	0.358447751692912	"Control"	0.0277690449434658
"d__Bacteria.p__Firmicutes"	0.0803718761670418	0.189902680063493	"Control"	0.114816965952917
"d__Bacteria.p__Patescibacteria"	0.672444218214536	0.0122446980310661	"NNK"	0.672444218214536
"d__Bacteria.p__Proteobacteria"	0.0378100066126411	0.2569986504071	"NNK"	0.0630166776877352
"d__Bacteria.p__Verrucomicrobiota"	0.00940718512441305	0.371363164326963	"NNK"	0.0277690449434658
"Other"	0.000349691359096896	0.584762834969443	"NNK"	0.00349691359096896
