"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota"	0.0224693791199821	0.270434722759845	"Control"	0.0320991130285459
"d__Bacteria.p__Bacteroidota"	0.0127568282020066	0.312974686494623	"NNK"	0.0212613803366777
"d__Bacteria.p__Campilobacterota"	8.98978386531777e-11	0.920408561427773	"Control"	4.49489193265888e-10
"d__Bacteria.p__Deferribacterota"	2.17918709820143e-06	0.741859630904184	"Control"	5.44796774550357e-06
"d__Bacteria.p__Desulfobacterota"	0.102152556697028	0.14936808614529	"NNK"	0.127690695871285
"d__Bacteria.p__Firmicutes"	0.46905495700405	0.0312538693549984	"Control"	0.521172174448944
"d__Bacteria.p__Patescibacteria"	4.70061183831859e-09	0.873570052566431	"Control"	1.56687061277286e-08
"d__Bacteria.p__Proteobacteria"	2.11319306381936e-05	0.664642449964975	"NNK"	4.22638612763871e-05
"d__Bacteria.p__Verrucomicrobiota"	6.46194133324154e-13	0.955377841941243	"NNK"	6.46194133324154e-12
"Other"	0.659463675392556	0.011693580587342	"Control"	0.659463675392556
