"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__"	0.0396880370723438	0.252775138481063	"Control"	0.0926054198354689
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__"	0.0573638454974765	0.220247888045039	"Control"	0.119448807204779
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__.__"	0.249579508618961	0.0872985614516046	"Control"	0.327573105062386
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus.__"	0.126658219912492	0.148475222429581	"NNK"	0.204601739858641
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__"	0.00115564634200913	0.516323679831024	"NNK"	0.00606714329554793
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__"	0.819434199144875	0.00358507804800775	"NNK"	0.860405909102119
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__"	0.00412359777535938	0.432342460847619	"NNK"	0.0173191106565094
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__"	3.53698675564272e-05	0.691198944325271	"NNK"	0.000371383609342486
"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__"	0.194956752515544	0.109291697558856	"Control"	0.292435128773316
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__"	0.602709244661412	0.0184994348681944	"Control"	0.703160785438314
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__"	0.236659268159079	0.0919849349411466	"Control"	0.327573105062386
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__"	0.913129238149203	0.000819943758537467	"NNK"	0.913129238149203
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__"	0.022073014836953	0.30287770805973	"Control"	0.0660039303679495
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__"	2.70414551921977e-06	0.77932061650432	"Control"	5.67870559036151e-05
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae.g__Anaerofustis.__"	0.0925714550434822	0.177070314352491	"NNK"	0.162000046326094
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__"	0.000346949531768491	0.585181999000226	"Control"	0.00242864672237944
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__"	0.0625684228215509	0.212478530497107	"Control"	0.119448807204779
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_AD3011_group.__"	0.278932474647856	0.0776039150976123	"NNK"	0.344563645153233
"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Rodentibacter.__"	0.0138213814408188	0.341138679802562	"NNK"	0.0483748350428659
"d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__"	0.0251443544258855	0.291950776263352	"NNK"	0.0660039303679495
"Other"	0.726918058629907	0.00837063623082615	"NNK"	0.803435749012003
