"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__"	2.6272031715648e-05	0.656164243728379	"Control"	0.000100709454909984
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__"	0.00660284983742124	0.360099670673575	"NNK"	0.011681965096976
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__.__"	0.00465416750649069	0.384050842499713	"Control"	0.00892048772077383
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus.__"	3.09519879110225e-05	0.64964480749925	"Control"	0.000101699388850503
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__"	2.57440826866063e-07	0.798459517602779	"Control"	1.18422780358389e-06
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__"	7.07888933587341e-20	0.993214749280728	"Control"	1.62814454725088e-18
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__"	4.80644554711787e-08	0.834195553585982	"Control"	2.76370618959278e-07
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__"	1.56728483290798e-15	0.97800056654019	"Control"	1.80237755784418e-14
"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__"	7.74896683850625e-10	0.897586851621818	"Control"	5.94087457618813e-09
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__"	0.124512812887149	0.133150698044644	"Control"	0.159099705355802
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__"	0.956254779912349	0.000182261073014236	"Control"	0.956254779912349
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__"	0.0757630729030998	0.173820718842958	"Control"	0.108909417298206
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__"	0.04117012426787	0.223058766463694	"Control"	0.0676366327257865
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__"	0.000652417630615706	0.50474952048528	"NNK"	0.00166728950046236
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__"	0.0609417797148436	0.191529429220508	"Control"	0.0934440622294268
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae.g__Anaerofustis.__"	0.209897396666575	0.0908219826803132	"Control"	0.229975576651533
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__"	8.50703726089092e-05	0.606740571196766	"NNK"	0.000244577321250614
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__"	0.00256025160744865	0.423236329709071	"Control"	0.00588857869713189
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_AD3011_group.__"	0.795441138158791	0.00406323228771457	"Control"	0.831597553529645
"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Enterobacter.__"	0.00363946046912727	0.400441353006947	"NNK"	0.00760978098090248
"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Rodentibacter.__"	0.191330233387405	0.0982348146391397	"NNK"	0.229975576651533
"d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__"	0.121583392507826	0.1350999183707	"Control"	0.159099705355802
"Other"	0.209977700420965	0.0907914951802587	"NNK"	0.229975576651533
