"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium"	0.188603732717994	0.120057379883293	"Recipient"	0.30595716640919
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella"	2.1969776218905e-07	0.86138944231481	"Recipient"	4.53758151970589e-06
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus"	0.127543358412511	0.157855013147821	"Recipient"	0.216527096839845
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides"	0.346019213398824	0.0636067230496388	"Recipient"	0.495282403492435
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter"	4.22010325661109e-07	0.847988100877087	"Recipient"	6.1613507546522e-06
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae"	0.0491493124697021	0.248915696467881	"Recipient"	0.105526465008478
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum"	0.183392137623516	0.122749564233212	"Recipient"	0.304264228329925
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella"	0.850987093029387	0.00260893517541452	"Recipient"	0.874958560438666
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella"	0.839426137106126	0.00303460803372507	"Recipient"	0.874958560438666
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotellaceae_UCG.001"	4.36370498342831e-08	0.889749265550479	"Recipient"	1.89136505257607e-06
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes"	0.596689284979671	0.0205132746886133	"Recipient"	0.734937791123368
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella"	0.680128765272552	0.0125032649332286	"Recipient"	0.775771872889004
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group"	5.18182206185226e-08	0.887030683486642	"Recipient"	1.89136505257607e-06
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides"	0.507957849731688	0.0319186384379253	"Recipient"	0.681213315417855
"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter"	0.000669382273126448	0.574463148301408	"Recipient"	0.00305405662113942
"d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum"	0.702783008355983	0.0107190710083039	"Donor"	0.777320600151314
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila"	0.00210717148010126	0.502574593804537	"Recipient"	0.00809597463407324
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio"	0.000350459507550648	0.610646402486274	"Recipient"	0.00182739600365695
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma"	0.208550483004263	0.110435306625403	"Recipient"	0.31717052623565
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__"	0.00462720661841926	0.447094893083271	"Recipient"	0.0153539128702093
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium"	0.700958071085557	0.0108570317495219	"Donor"	0.777320600151314
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella"	0.0182118479579708	0.337813545876024	"Recipient"	0.0428859645461893
