"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium"	0.741009310378063	0.00805362839694359	"Recipient"	0.751595157669178
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella"	5.17896387548347e-05	0.701264033812883	"Recipient"	0.000175098302456822
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus"	0.194500127019988	0.117104469171282	"Donor"	0.265567481123445
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides"	0.331277514341644	0.067471483987998	"Donor"	0.391107788588004
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter"	0.0811219852885984	0.201519192826564	"Recipient"	0.122545977776393
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae"	5.17555605346173e-05	0.701291423743234	"Donor"	0.000175098302456822
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum"	0.236079075771325	0.0986711098889478	"Recipient"	0.310400266291927
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella"	3.30707612848413e-07	0.853136645409323	"Recipient"	5.45127180831869e-06
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella"	0.121704279867169	0.162394599849373	"Recipient"	0.172820077411381
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella"	5.10260675937945e-06	0.784009585902587	"Recipient"	3.14951061026075e-05
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotellaceae_UCG.001"	0.272451532493732	0.0852702679787399	"Recipient"	0.34335212510827
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes"	0.00304802659837989	0.477185402690448	"Donor"	0.00698096414467652
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella"	4.08425144174512e-08	0.890778945925522	"Recipient"	1.62912316087732e-06
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group"	0.02676461234512	0.304239776386602	"Recipient"	0.0487253199103466
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides"	4.58907932641498e-08	0.888959349272604	"Recipient"	1.62912316087732e-06
"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter"	1.15635372826032e-06	0.824742716340778	"Recipient"	1.17287306723547e-05
"d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum"	0.00101254581527297	0.549700920287971	"Recipient"	0.00266262047719928
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila"	0.867357352735459	0.0020626957844832	"Recipient"	0.867357352735459
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio"	0.454701493406549	0.040522935695994	"Recipient"	0.50443446924789
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma"	0.00230512952448802	0.496502875318955	"Donor"	0.00545547320795499
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium"	0.568594147591695	0.0237717307715392	"Donor"	0.611669461803187
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella"	0.173005955294307	0.128362322924279	"Recipient"	0.240851427958741
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix"	0.0511252754934933	0.245239115517711	"Recipient"	0.0844161525590238
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum"	0.349991414031249	0.062600538374729	"Donor"	0.394434768193947
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter"	3.83892380867514e-07	0.850008153989287	"Donor"	5.45127180831869e-06
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus"	0.288483186070244	0.0799983907780069	"Recipient"	0.347157732389615
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales.f__Mycoplasmataceae.g__Ureaplasma"	0.000223982723800268	0.633958900459206	"Recipient"	0.000662615557909127
"d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39.g__RF39"	2.0320910090708e-06	0.810248864187806	"Donor"	1.60309401826696e-05
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014.g__Clostridia_UCG.014"	5.32311652438436e-06	0.782721924133489	"Donor"	3.14951061026075e-05
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group.g__Clostridia_vadinBB60_group"	2.50327263719248e-05	0.730080568105673	"Donor"	0.000111082723275416
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium_sensu_stricto_1"	0.246098024419324	0.0947595921809354	"Donor"	0.317690176977672
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Defluviitaleaceae.g__Defluviitaleaceae_UCG.011"	0.0220530079268497	0.321275799132503	"Donor"	0.0413114584849285
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__"	0.507770111202814	0.0319464362740781	"Recipient"	0.554641198390766
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__A2"	0.013445175652398	0.363407935399783	"Donor"	0.0265168742033405
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__ASF356"	0.0497772419524678	0.247732630447572	"Recipient"	0.0841472423482193
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor"	0.00014523251332922	0.655251721283545	"Donor"	0.000448326454190202
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia"	0.0339333219861111	0.282959065542618	"Donor"	0.0602316465253471
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575"	8.7453113399985e-05	0.678677432026389	"Donor"	0.000282235047790861
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium"	5.13333399443989e-06	0.783827310947792	"Donor"	3.14951061026075e-05
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_FCS020_group"	0.0610302691168563	0.228604030778034	"Donor"	0.0984806615294726
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group"	0.287044413504739	0.0804574273108905	"Donor"	0.347157732389615
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.001"	0.108476133431712	0.173531694579234	"Recipient"	0.157179703543909
"d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006"	0.00975586121905373	0.389606521851106	"Donor"	0.0203725337221416
