"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota"	0.122385255627076	0.161854153621485	"Recipient"	0.152981569533845
"d__Bacteria.p__Bacteroidota"	0.00313681445407841	0.475162944522625	"Recipient"	0.00535106597460193
"d__Bacteria.p__Campilobacterota"	0.00151779261560623	0.524201652334661	"Recipient"	0.00379448153901557
"d__Bacteria.p__Deferribacterota"	0.774221181173244	0.0060725717900105	"Donor"	0.837864631111505
"d__Bacteria.p__Desulfobacterota"	0.000778342285393767	0.565590141954877	"Recipient"	0.00259447428464589
"d__Bacteria.p__Firmicutes"	0.0382213214096304	0.272129242065064	"Recipient"	0.0546018877280434
"d__Bacteria.p__Patescibacteria"	0.000427570106134846	0.599846151781791	"Recipient"	0.00259447428464589
"d__Bacteria.p__Proteobacteria"	0.837864631111505	0.0030946562470304	"Recipient"	0.837864631111505
"d__Bacteria.p__Verrucomicrobiota"	0.000727892012594559	0.569553952201467	"Donor"	0.00259447428464589
"Other"	0.00321063958476116	0.47351935368852	"Recipient"	0.00535106597460193
