"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota"	0.611072562914925	0.0189604704568478	"Recipient"	0.763840703643656
"d__Bacteria.p__Bacteroidota"	0.0614887465360914	0.227896998131178	"Donor"	0.102481244226819
"d__Bacteria.p__Campilobacterota"	1.83686476192381e-05	0.741514048918522	"Recipient"	0.000183686476192381
"d__Bacteria.p__Deferribacterota"	0.00022103409080366	0.634628389439655	"Recipient"	0.000755440891640691
"d__Bacteria.p__Desulfobacterota"	0.00127132223055668	0.535522878066458	"Recipient"	0.00254264446111336
"d__Bacteria.p__Firmicutes"	0.000226632267492207	0.633363819117132	"Donor"	0.000755440891640691
"d__Bacteria.p__Patescibacteria"	0.343669444623532	0.0642088147544856	"Donor"	0.490956349462189
"d__Bacteria.p__Proteobacteria"	0.791342315470873	0.00516787840368577	"Recipient"	0.850605914203827
"d__Bacteria.p__Verrucomicrobiota"	0.00126211639398478	0.535981887067835	"Recipient"	0.00254264446111336
"Other"	0.850605914203827	0.00262244099046481	"Donor"	0.850605914203827
