"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium"	1.71408445133947e-05	0.651162685315045	"Recipient"	0.000100396375007026
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Coriobacteriaceae_UCG.002"	0.160085106535233	0.106573205302126	"Donor"	0.198893617210441
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella"	6.75486142988181e-12	0.931039198539262	"Recipient"	5.53898637250309e-10
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__"	0.508257761137005	0.0246871955805285	"Donor"	0.570919676893622
"d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus"	0.149252682537602	0.11198613736162	"Donor"	0.188287999508975
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides"	0.795357800799776	0.00383487893396545	"Donor"	0.84700441124132
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter"	0.0304122144492941	0.234696945270163	"Donor"	0.0515611895185264
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae"	0.187391698433933	0.0944843980311278	"Recipient"	0.225972342229154
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum"	5.76291140527657e-05	0.60233192106678	"Recipient"	0.000295349209520424
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella"	0.0282212748949073	0.240293390821376	"Donor"	0.0503074900300521
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella"	0.0308109547122901	0.233719515837698	"Donor"	0.0515611895185264
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella"	0.0262864517154971	0.245587025251472	"Donor"	0.0503074900300521
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotellaceae_UCG.001"	0.0279234658324867	0.241085512105938	"Donor"	0.0503074900300521
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes"	1.2374859630759e-06	0.73793370466081	"Donor"	1.22264336444889e-05
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella"	0.0334490902867252	0.227538720530984	"Donor"	0.0527466423752205
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group"	0.0252802573807012	0.248486582746971	"Donor"	0.0503074900300521
"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides"	0.0320728265930204	0.230703173746916	"Donor"	0.0523245916782179
"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter"	0.0274200350815208	0.242442820684625	"Donor"	0.0503074900300521
"d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum"	0.0643374962316106	0.177466486925169	"Donor"	0.0894182151015605
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila"	0.813360924703039	0.00317873867306815	"Recipient"	0.855071741354477
"d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio"	0.00045380243030674	0.50401581606764	"Recipient"	0.00177199044215013
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma"	2.77811663369561e-06	0.713758104406676	"Recipient"	1.898379699692e-05
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__"	0.122078737632775	0.127591127198178	"Donor"	0.156413382591993
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium"	0.115077731091157	0.132191275919667	"Donor"	0.149783713483728
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.__"	0.000805091255323914	0.472946133928888	"Donor"	0.00275072845569004
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella"	0.0827154316158801	0.157937492841924	"Donor"	0.111191235942658
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix"	0.0118058017237092	0.303589840037547	"Donor"	0.0248224549062603
"d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum"	1.49102849323036e-06	0.732545070502817	"Recipient"	1.22264336444889e-05
