"Taxa"	"pValue"	"R2"	"direction"	"Adj_pValue"
"d__Bacteria.p__Actinobacteriota"	0.000192612498259823	0.547326620984528	"Recipient"	0.000963062491299115
"d__Bacteria.p__Bacteroidota"	0.286713463597016	0.0627640126675205	"Donor"	0.286713463597016
"d__Bacteria.p__Campilobacterota"	0.0259855748214802	0.246442975259979	"Donor"	0.0330613935446213
"d__Bacteria.p__Deferribacterota"	0.0396966689210363	0.214569436211705	"Donor"	0.0441074099122626
"d__Bacteria.p__Desulfobacterota"	0.00182913106742224	0.425415511579866	"Recipient"	0.00457282766855559
"d__Bacteria.p__Firmicutes"	0.023882156620435	0.252700807431804	"Donor"	0.0330613935446213
"d__Bacteria.p__Patescibacteria"	0.026449114835697	0.245128101110043	"Donor"	0.0330613935446213
"d__Bacteria.p__Proteobacteria"	5.39364712363505e-06	0.6923139438069	"Recipient"	5.39364712363505e-05
"d__Bacteria.p__Verrucomicrobiota"	0.000854912097425321	0.469591835868522	"Recipient"	0.00284970699141774
"Other"	0.0148085094073495	0.287493965204511	"Recipient"	0.0296170188146991
