index,Unassigned;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
P113ABX1-S180,4609.0,37.0,4.0,280.0,0.0,0.0,57.0,17.0,0.0,19507.0,5.0,WT,Bla-ABX1,Bladder,No,Yes,Post,Abx-Bladder
P113ABX2-S181,3463.0,0.0,0.0,72.0,0.0,0.0,0.0,28.0,0.0,29300.0,0.0,WT,Bla-ABX2,Bladder,No,Yes,Post,Abx-Bladder
P113ABX3-S182,2758.0,0.0,0.0,4.0,14.0,0.0,23.0,28.0,0.0,17240.0,0.0,WT,Bla-ABX3,Bladder,No,Yes,Post,Abx-Bladder
P113ABX4-S183,2260.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,28767.0,0.0,WT,Bla-ABX4,Bladder,No,Yes,Post,Abx-Bladder
P113ABX5-S184,3085.0,18.0,0.0,14.0,66.0,0.0,60.0,230.0,0.0,28813.0,0.0,WT,Bla-ABX5,Bladder,No,Yes,Post,Abx-Bladder
P113CT1-S164,89.0,1621.0,281.0,13044.0,0.0,0.0,8831.0,4340.0,0.0,1886.0,844.0,WT,Bla-CT1,Bladder,No,No,Post,Abx-Bladder
P113CT2-S165,73.0,868.0,27.0,5476.0,5.0,0.0,3030.0,4075.0,0.0,849.0,264.0,WT,Bla-CT2,Bladder,No,No,Post,Abx-Bladder
P113CT3-S166,6.0,964.0,118.0,4878.0,0.0,0.0,4176.0,3490.0,0.0,882.0,80.0,WT,Bla-CT3,Bladder,No,No,Post,Abx-Bladder
P113CT4-S167,9.0,2564.0,296.0,11255.0,0.0,224.0,9452.0,6266.0,0.0,53.0,463.0,WT,Bla-CT4,Bladder,No,No,Post,Abx-Bladder
P113CT5-S168,67.0,2490.0,600.0,13198.0,0.0,292.0,9888.0,6975.0,0.0,27.0,752.0,WT,Bla-CT5,Bladder,No,No,Post,Abx-Bladder
P113CT6-S169,0.0,1770.0,346.0,10962.0,0.0,0.0,7684.0,4796.0,0.0,864.0,244.0,WT,Bla-CT6,Bladder,No,No,Post,Abx-Bladder
P113CT7-S170,0.0,1875.0,400.0,10284.0,0.0,117.0,8313.0,5387.0,0.0,94.0,1112.0,WT,Bla-CT7,Bladder,No,No,Post,Abx-Bladder
P113CT8-S171,32.0,1214.0,296.0,12331.0,0.0,0.0,8824.0,5683.0,0.0,962.0,913.0,WT,Bla-CT8,Bladder,No,No,Post,Abx-Bladder
P113SA1-S185,3025.0,95.0,0.0,33.0,30.0,0.0,72.0,176.0,0.0,28221.0,0.0,WT,Bla-SA1,Bladder,Yes,Yes,Post,Abx-Bladder
P113SA2-S186,4097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17993.0,0.0,WT,Bla-SA2,Bladder,Yes,Yes,Post,Abx-Bladder
P113SA3-S187,5614.0,22.0,0.0,11.0,0.0,0.0,8.0,5.0,0.0,25036.0,0.0,WT,Bla-SA3,Bladder,Yes,Yes,Post,Abx-Bladder
P113SA4-S188,5283.0,3.0,0.0,0.0,9.0,0.0,22.0,45.0,0.0,21136.0,0.0,WT,Bla-SA4,Bladder,Yes,Yes,Post,Abx-Bladder
P113SA5-S189,3442.0,17.0,0.0,423.0,12.0,0.0,137.0,1019.0,9.0,16070.0,54.0,WT,Bla-SA5,Bladder,Yes,Yes,Post,Abx-Bladder
P113SA6-S190,3412.0,0.0,0.0,0.0,7.0,0.0,11.0,35.0,0.0,14101.0,0.0,WT,Bla-SA6,Bladder,Yes,Yes,Post,Abx-Bladder
P113SM1-S172,36.0,374.0,89.0,8800.0,0.0,0.0,3903.0,14022.0,723.0,308.0,1035.0,WT,Bla-SM1,Bladder,Yes,No,Post,Abx-Bladder
P113SM2-S173,52.0,728.0,64.0,8325.0,0.0,0.0,4294.0,9162.0,644.0,717.0,1550.0,WT,Bla-SM2,Bladder,Yes,No,Post,Abx-Bladder
P113SM3-S174,69.0,445.0,74.0,8660.0,0.0,0.0,5003.0,7851.0,130.0,367.0,926.0,WT,Bla-SM3,Bladder,Yes,No,Post,Abx-Bladder
P113SM4-S175,12.0,960.0,91.0,12356.0,0.0,0.0,4989.0,9136.0,319.0,642.0,1270.0,WT,Bla-SM4,Bladder,Yes,No,Post,Abx-Bladder
P113SM5-S176,50.0,356.0,80.0,9855.0,0.0,0.0,4132.0,14139.0,663.0,411.0,3468.0,WT,Bla-SM5,Bladder,Yes,No,Post,Abx-Bladder
P113SM6-S177,58.0,531.0,53.0,9588.0,0.0,0.0,3806.0,7986.0,588.0,125.0,1469.0,WT,Bla-SM6,Bladder,Yes,No,Post,Abx-Bladder
P113SM7-S178,57.0,338.0,27.0,7788.0,7.0,0.0,3336.0,5588.0,1835.0,204.0,1276.0,WT,Bla-SM7,Bladder,Yes,No,Post,Abx-Bladder
P113SM8-S179,59.0,1022.0,56.0,8850.0,8.0,0.0,5870.0,7093.0,1698.0,379.0,1019.0,WT,Bla-SM8,Bladder,Yes,No,Post,Abx-Bladder
