index,Unassigned;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
P113ABX1-S180,4609.0,17.0,20.0,4.0,280.0,0.0,0.0,0.0,32.0,25.0,0.0,0.0,5.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,19507.0,5.0,WT,Bla-ABX1,Bladder,No,Yes,Post,Abx-Bladder
P113ABX2-S181,3463.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,29300.0,0.0,WT,Bla-ABX2,Bladder,No,Yes,Post,Abx-Bladder
P113ABX3-S182,2758.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,17240.0,0.0,WT,Bla-ABX3,Bladder,No,Yes,Post,Abx-Bladder
P113ABX4-S183,2260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28767.0,0.0,WT,Bla-ABX4,Bladder,No,Yes,Post,Abx-Bladder
P113ABX5-S184,3085.0,12.0,6.0,0.0,14.0,66.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,28813.0,0.0,WT,Bla-ABX5,Bladder,No,Yes,Post,Abx-Bladder
P113CT1-S164,89.0,1621.0,0.0,281.0,13044.0,0.0,0.0,738.0,4889.0,2607.0,597.0,0.0,72.0,141.0,2909.0,57.0,1091.0,29.0,41.0,0.0,720.0,1166.0,844.0,WT,Bla-CT1,Bladder,No,No,Post,Abx-Bladder
P113CT2-S165,73.0,868.0,0.0,27.0,5476.0,5.0,0.0,983.0,1176.0,286.0,585.0,8.0,44.0,294.0,2861.0,46.0,777.0,33.0,12.0,0.0,40.0,809.0,264.0,WT,Bla-CT2,Bladder,No,No,Post,Abx-Bladder
P113CT3-S166,6.0,964.0,0.0,118.0,4878.0,0.0,0.0,620.0,2196.0,1059.0,301.0,11.0,117.0,289.0,2345.0,29.0,668.0,15.0,16.0,0.0,220.0,662.0,80.0,WT,Bla-CT3,Bladder,No,No,Post,Abx-Bladder
P113CT4-S167,9.0,2564.0,0.0,296.0,11255.0,0.0,224.0,2044.0,3311.0,2941.0,1156.0,0.0,136.0,264.0,4467.0,127.0,1192.0,51.0,29.0,0.0,53.0,0.0,463.0,WT,Bla-CT4,Bladder,No,No,Post,Abx-Bladder
P113CT5-S168,67.0,2490.0,0.0,600.0,13198.0,0.0,292.0,326.0,5473.0,3159.0,930.0,0.0,109.0,420.0,5265.0,180.0,894.0,90.0,17.0,0.0,27.0,0.0,752.0,WT,Bla-CT5,Bladder,No,No,Post,Abx-Bladder
