index,Unassigned;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,MouseModel,MouseID,Cancer,SmokeExp,FMTstatus,TumorImp,Study
POSTMC38CT2-S63,9.0,53.0,25.0,8118.0,4301.0,10326.0,3.0,526.0,655.0,WT,MC38-CT2,Colon,No,NA,Post,Abx-Colon
POSTMC38CT3-S64,0.0,0.0,9.0,6722.0,3009.0,6061.0,0.0,143.0,433.0,WT,MC38-CT3,Colon,No,NA,Post,Abx-Colon
POSTMC38CT4-S65,9.0,45.0,15.0,9087.0,3946.0,7845.0,0.0,321.0,1886.0,WT,MC38-CT4,Colon,No,NA,Post,Abx-Colon
POSTMC38CT5-S66,0.0,0.0,17.0,5476.0,2529.0,6934.0,0.0,471.0,640.0,WT,MC38-CT5,Colon,No,NA,Post,Abx-Colon
POSTMC38CT6-S67,5.0,18.0,0.0,5616.0,1477.0,4853.0,0.0,82.0,783.0,WT,MC38-CT6,Colon,No,NA,Post,Abx-Colon
POSTMC38CT8-S69,0.0,5.0,0.0,3255.0,3074.0,4338.0,0.0,35.0,233.0,WT,MC38-CT8,Colon,No,NA,Post,Abx-Colon
POSTMC38SM1D-S70,0.0,560.0,16.0,4426.0,1988.0,5392.0,0.0,147.0,914.0,WT,MC38-SM1,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM2E-S72,34.0,760.0,0.0,7421.0,1851.0,10092.0,23.0,211.0,3065.0,WT,MC38-SM3,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM3A-S73,106.0,676.0,104.0,23438.0,5251.0,20611.0,12.0,555.0,4193.0,WT,MC38-SM4,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM3C-S74,455.0,181.0,112.0,21690.0,3567.0,26131.0,35.0,356.0,3674.0,WT,MC38-SM5,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM5A-S75,123.0,1156.0,121.0,19382.0,8284.0,15089.0,0.0,527.0,4159.0,WT,MC38-SM6,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM5C-S76,125.0,1213.0,176.0,24163.0,5957.0,19263.0,0.0,367.0,7702.0,WT,MC38-SM7,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM6C-S77,177.0,2241.0,221.0,26825.0,7297.0,20733.0,0.0,383.0,2913.0,WT,MC38-SM8,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM7B-S78,102.0,697.0,166.0,21333.0,4330.0,15070.0,0.0,284.0,7979.0,WT,MC38-SM9,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM7D-S79,20.0,1084.0,103.0,22283.0,7404.0,16838.0,0.0,283.0,1323.0,WT,MC38-SM10,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM8C-S80,109.0,433.0,100.0,24873.0,6775.0,16667.0,0.0,464.0,3089.0,WT,MC38-SM11,Colon,Yes,NA,Post,Abx-Colon
