index,Unassigned;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,MouseModel,MouseID,Cancer,SmokeExp,FMTstatus,TumorImp,Study
POSTMC38CT2-S63,9.0,53.0,25.0,8118.0,936.0,1378.0,1708.0,0.0,279.0,287.0,737.0,516.0,6449.0,0.0,2191.0,18.0,128.0,3.0,526.0,655.0,WT,MC38-CT2,Colon,No,NA,Post,Abx-Colon
POSTMC38CT3-S64,0.0,0.0,9.0,6722.0,82.0,1139.0,1283.0,0.0,505.0,187.0,172.0,0.0,4242.0,0.0,1431.0,16.0,13.0,0.0,143.0,433.0,WT,MC38-CT3,Colon,No,NA,Post,Abx-Colon
POSTMC38CT4-S65,9.0,45.0,15.0,9087.0,362.0,1293.0,2116.0,0.0,175.0,156.0,412.0,7.0,5098.0,66.0,2082.0,24.0,0.0,0.0,321.0,1886.0,WT,MC38-CT4,Colon,No,NA,Post,Abx-Colon
POSTMC38CT5-S66,0.0,0.0,17.0,5476.0,410.0,1306.0,667.0,0.0,146.0,210.0,443.0,349.0,4057.0,0.0,1736.0,3.0,136.0,0.0,471.0,640.0,WT,MC38-CT5,Colon,No,NA,Post,Abx-Colon
POSTMC38CT6-S67,5.0,18.0,0.0,5616.0,6.0,445.0,993.0,0.0,33.0,0.0,402.0,0.0,3589.0,0.0,855.0,7.0,0.0,0.0,82.0,783.0,WT,MC38-CT6,Colon,No,NA,Post,Abx-Colon
POSTMC38CT8-S69,0.0,5.0,0.0,3255.0,902.0,153.0,1969.0,0.0,50.0,47.0,215.0,0.0,3123.0,0.0,937.0,16.0,0.0,0.0,35.0,233.0,WT,MC38-CT8,Colon,No,NA,Post,Abx-Colon
POSTMC38SM1D-S70,0.0,560.0,16.0,4426.0,384.0,949.0,173.0,0.0,482.0,360.0,363.0,86.0,3126.0,0.0,1388.0,17.0,52.0,0.0,147.0,914.0,WT,MC38-SM1,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM2E-S72,34.0,760.0,0.0,7421.0,29.0,1139.0,535.0,0.0,148.0,743.0,729.0,74.0,5653.0,5.0,2797.0,33.0,58.0,23.0,211.0,3065.0,WT,MC38-SM3,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM3A-S73,106.0,676.0,104.0,23438.0,3330.0,681.0,349.0,0.0,891.0,3267.0,4015.0,101.0,8232.0,0.0,4848.0,118.0,30.0,12.0,555.0,4193.0,WT,MC38-SM4,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM3C-S74,455.0,181.0,112.0,21690.0,1695.0,216.0,234.0,0.0,1422.0,709.0,1027.0,60.0,16704.0,0.0,7389.0,144.0,98.0,35.0,356.0,3674.0,WT,MC38-SM5,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM5A-S75,123.0,1156.0,121.0,19382.0,2755.0,2275.0,2083.0,0.0,1171.0,807.0,1368.0,58.0,9202.0,16.0,3460.0,90.0,88.0,0.0,527.0,4159.0,WT,MC38-SM6,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM5C-S76,125.0,1213.0,176.0,24163.0,2137.0,2653.0,1017.0,0.0,150.0,1235.0,707.0,62.0,11598.0,105.0,5295.0,135.0,126.0,0.0,367.0,7702.0,WT,MC38-SM7,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM6C-S77,177.0,2241.0,221.0,26825.0,2673.0,1805.0,1290.0,1272.0,257.0,1266.0,1490.0,177.0,12819.0,17.0,4586.0,192.0,186.0,0.0,383.0,2913.0,WT,MC38-SM8,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM7B-S78,102.0,697.0,166.0,21333.0,857.0,1641.0,625.0,1134.0,73.0,466.0,2949.0,79.0,6860.0,0.0,4606.0,81.0,29.0,0.0,284.0,7979.0,WT,MC38-SM9,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM7D-S79,20.0,1084.0,103.0,22283.0,2160.0,1961.0,2936.0,216.0,131.0,239.0,1586.0,165.0,10248.0,0.0,4429.0,100.0,71.0,0.0,283.0,1323.0,WT,MC38-SM10,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM8C-S80,109.0,433.0,100.0,24873.0,2857.0,1622.0,1250.0,525.0,521.0,1140.0,2249.0,188.0,9899.0,16.0,3047.0,77.0,51.0,0.0,464.0,3089.0,WT,MC38-SM11,Colon,Yes,NA,Post,Abx-Colon
