index,Unassigned;__;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,MouseModel,MouseID,Cancer,SmokeExp,FMTstatus,TumorImp,Study
POSTMC38CT2-S63,9.0,53.0,25.0,2130.0,5359.0,629.0,936.0,11.0,1367.0,1708.0,0.0,279.0,287.0,737.0,516.0,6449.0,0.0,46.0,1668.0,378.0,59.0,40.0,18.0,0.0,128.0,3.0,526.0,655.0,WT,MC38-CT2,Colon,No,NA,Post,Abx-Colon
POSTMC38CT3-S64,0.0,0.0,9.0,1048.0,3515.0,2159.0,82.0,12.0,1127.0,1283.0,0.0,505.0,187.0,172.0,0.0,4242.0,0.0,7.0,672.0,526.0,101.0,125.0,16.0,13.0,0.0,0.0,143.0,433.0,WT,MC38-CT3,Colon,No,NA,Post,Abx-Colon
POSTMC38CT4-S65,9.0,45.0,15.0,2606.0,4227.0,2254.0,362.0,0.0,1293.0,2116.0,0.0,175.0,156.0,412.0,7.0,5098.0,66.0,22.0,1527.0,449.0,32.0,52.0,24.0,0.0,0.0,0.0,321.0,1886.0,WT,MC38-CT4,Colon,No,NA,Post,Abx-Colon
POSTMC38CT5-S66,0.0,0.0,17.0,1128.0,4324.0,24.0,410.0,13.0,1293.0,667.0,0.0,146.0,210.0,443.0,349.0,4057.0,0.0,24.0,804.0,734.0,30.0,144.0,3.0,8.0,128.0,0.0,471.0,640.0,WT,MC38-CT5,Colon,No,NA,Post,Abx-Colon
POSTMC38CT6-S67,5.0,18.0,0.0,1243.0,2027.0,2346.0,6.0,0.0,445.0,993.0,0.0,33.0,0.0,402.0,0.0,3589.0,0.0,9.0,500.0,256.0,23.0,67.0,7.0,0.0,0.0,0.0,82.0,783.0,WT,MC38-CT6,Colon,No,NA,Post,Abx-Colon
POSTMC38CT8-S69,0.0,5.0,0.0,435.0,1519.0,1301.0,902.0,0.0,153.0,1969.0,0.0,50.0,47.0,215.0,0.0,3123.0,0.0,9.0,512.0,339.0,18.0,59.0,16.0,0.0,0.0,0.0,35.0,233.0,WT,MC38-CT8,Colon,No,NA,Post,Abx-Colon
POSTMC38SM1D-S70,0.0,560.0,16.0,1153.0,2155.0,1118.0,384.0,0.0,949.0,173.0,0.0,482.0,360.0,363.0,86.0,3126.0,0.0,4.0,542.0,689.0,25.0,128.0,17.0,9.0,43.0,0.0,147.0,914.0,WT,MC38-SM1,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM2E-S72,34.0,760.0,0.0,2437.0,3191.0,1793.0,29.0,80.0,1059.0,535.0,0.0,148.0,743.0,729.0,74.0,5653.0,5.0,0.0,1180.0,1186.0,90.0,341.0,33.0,10.0,48.0,23.0,211.0,3065.0,WT,MC38-SM3,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM3A-S73,106.0,676.0,104.0,10621.0,10471.0,2346.0,3330.0,228.0,453.0,349.0,0.0,891.0,3267.0,4015.0,101.0,8232.0,0.0,26.0,3225.0,1491.0,47.0,59.0,118.0,30.0,0.0,12.0,555.0,4193.0,WT,MC38-SM4,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM3C-S74,455.0,181.0,112.0,7081.0,9764.0,4845.0,1695.0,40.0,176.0,234.0,0.0,1422.0,709.0,1027.0,60.0,16704.0,0.0,58.0,4838.0,2113.0,68.0,312.0,144.0,87.0,11.0,35.0,356.0,3674.0,WT,MC38-SM5,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM5A-S75,123.0,1156.0,121.0,5677.0,9144.0,4561.0,2755.0,129.0,2146.0,2083.0,0.0,1171.0,807.0,1368.0,58.0,9202.0,16.0,0.0,1407.0,1855.0,87.0,111.0,90.0,78.0,10.0,0.0,527.0,4159.0,WT,MC38-SM6,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM5C-S76,125.0,1213.0,176.0,10244.0,9754.0,4165.0,2137.0,164.0,2489.0,1017.0,0.0,150.0,1235.0,707.0,62.0,11598.0,105.0,10.0,2143.0,2587.0,130.0,425.0,135.0,96.0,30.0,0.0,367.0,7702.0,WT,MC38-SM7,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM6C-S77,177.0,2241.0,221.0,7311.0,12413.0,7101.0,2673.0,32.0,1773.0,1290.0,1272.0,257.0,1266.0,1490.0,177.0,12819.0,17.0,48.0,1619.0,2682.0,202.0,35.0,192.0,85.0,101.0,0.0,383.0,2913.0,WT,MC38-SM8,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM7B-S78,102.0,697.0,166.0,9702.0,7744.0,3887.0,857.0,505.0,1136.0,625.0,1134.0,73.0,466.0,2949.0,79.0,6860.0,0.0,0.0,1485.0,2514.0,125.0,482.0,81.0,21.0,8.0,0.0,284.0,7979.0,WT,MC38-SM9,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM7D-S79,20.0,1084.0,103.0,7608.0,9279.0,5396.0,2160.0,105.0,1856.0,2936.0,216.0,131.0,239.0,1586.0,165.0,10248.0,0.0,16.0,1838.0,2420.0,83.0,72.0,100.0,60.0,11.0,0.0,283.0,1323.0,WT,MC38-SM10,Colon,Yes,NA,Post,Abx-Colon
POSTMC38SM8C-S80,109.0,433.0,100.0,7856.0,12102.0,4915.0,2857.0,17.0,1605.0,1250.0,525.0,521.0,1140.0,2249.0,188.0,9899.0,16.0,20.0,1413.0,1260.0,95.0,259.0,77.0,40.0,11.0,0.0,464.0,3089.0,WT,MC38-SM11,Colon,Yes,NA,Post,Abx-Colon
