index,Unassigned;__,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Deferribacterota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Verrucomicrobiota,d__Eukaryota;p__Parabasalia,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
P731ABX1-S148,2192.0,42.0,21.0,21.0,0.0,0.0,94.0,0.0,12463.0,15.0,4.0,WT,Pan-ABX1,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX2-S149,1182.0,18.0,21.0,11.0,0.0,0.0,180.0,0.0,22913.0,15.0,0.0,WT,Pan-ABX2,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX3-S150,1295.0,28.0,58.0,15.0,0.0,0.0,309.0,0.0,13465.0,16.0,0.0,WT,Pan-ABX3,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX4-S151,3450.0,6.0,35.0,0.0,0.0,0.0,56.0,0.0,17794.0,0.0,0.0,WT,Pan-ABX4,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX5-S152,2261.0,44.0,23.0,0.0,0.0,0.0,280.0,2.0,25395.0,7.0,0.0,WT,Pan-ABX5,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX6-S153,2278.0,28.0,332.0,765.0,270.0,0.0,893.0,0.0,14061.0,54.0,130.0,WT,Pan-ABX6,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731ABX8-S155,0.0,377.0,4064.0,0.0,0.0,30.0,3866.0,51.0,1192.0,1226.0,0.0,WT,Pan-ABX8,Pancreatic,No,Yes,Post,Abx-Pancreatic
P731CT1-S131,61.0,2097.0,9433.0,5693.0,113.0,38.0,14687.0,290.0,134.0,339.0,377.0,WT,Pan-CT1,Pancreatic,No,No,Post,Abx-Pancreatic
P731CT2-S132,39.0,779.0,8801.0,7545.0,4019.0,402.0,13126.0,206.0,9.0,1314.0,5132.0,WT,Pan-CT2,Pancreatic,No,No,Post,Abx-Pancreatic
P731CT3-S133,0.0,665.0,14981.0,3170.0,1147.0,1224.0,10359.0,48.0,112.0,147.0,591.0,WT,Pan-CT3,Pancreatic,No,No,Post,Abx-Pancreatic
