index,Unassigned;__,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Deferribacterota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Verrucomicrobiota,d__Eukaryota;p__Parabasalia,MouseModel,MouseID,NNKexp,FMTstatus,TumorImp,Study
A2-S3,0.0,6597.0,42140.0,2074.0,170.0,1266.0,59124.0,863.0,807.0,90.0,12.0,WT,CtrlRec2,No,Recipient,Post,NNK-FMT
A3-S4,0.0,5200.0,34802.0,1900.0,170.0,721.0,56889.0,673.0,578.0,52.0,18.0,WT,CtrlRec3,No,Recipient,Post,NNK-FMT
A4-S5,0.0,9817.0,27136.0,3241.0,350.0,856.0,73764.0,93.0,1103.0,255.0,309.0,WT,CtrlRec4,No,Recipient,Post,NNK-FMT
A5-S6,0.0,8844.0,37958.0,1796.0,129.0,886.0,57791.0,673.0,437.0,135.0,0.0,WT,CtrlRec5,No,Recipient,Post,NNK-FMT
A6-S7,0.0,6554.0,32464.0,2697.0,164.0,1504.0,47884.0,84.0,644.0,123.0,57.0,WT,CtrlRec6,No,Recipient,Post,NNK-FMT
A7-S8,0.0,7598.0,20866.0,4297.0,912.0,1807.0,47481.0,223.0,237.0,164.0,387.0,WT,CtrlRec7,No,Recipient,Post,NNK-FMT
A8-S9,0.0,8618.0,26867.0,4515.0,171.0,697.0,45764.0,16.0,325.0,58.0,34.0,WT,CtrlRec8,No,Recipient,Post,NNK-FMT
B1-S10,18.0,1633.0,36955.0,1345.0,183.0,92.0,43862.0,240.0,615.0,486.0,35.0,WT,NNKRec1,Yes,Recipient,Post,NNK-FMT
B10-S19,58.0,828.0,41395.0,3165.0,451.0,855.0,46701.0,1366.0,725.0,1819.0,49.0,WT,NNKRec10,Yes,Recipient,Post,NNK-FMT
B2-S11,49.0,2339.0,44965.0,1928.0,889.0,2906.0,62497.0,539.0,851.0,475.0,2247.0,WT,NNKRec2,Yes,Recipient,Post,NNK-FMT
B3-S12,66.0,4508.0,44952.0,1211.0,131.0,96.0,57261.0,318.0,2085.0,288.0,44.0,WT,NNKRec3,Yes,Recipient,Post,NNK-FMT
B4-S13,0.0,9466.0,38722.0,1439.0,248.0,117.0,45304.0,67.0,1062.0,77.0,102.0,WT,NNKRec4,Yes,Recipient,Post,NNK-FMT
B5-S14,69.0,7603.0,39804.0,1961.0,498.0,169.0,47854.0,115.0,989.0,133.0,361.0,WT,NNKRec5,Yes,Recipient,Post,NNK-FMT
B6-S15,12.0,3210.0,28872.0,3705.0,228.0,113.0,38080.0,672.0,575.0,683.0,71.0,WT,NNKRec6,Yes,Recipient,Post,NNK-FMT
B7-S16,28.0,6033.0,46722.0,3680.0,481.0,447.0,50601.0,500.0,437.0,130.0,241.0,WT,NNKRec7,Yes,Recipient,Post,NNK-FMT
B8-S17,5.0,7549.0,45721.0,2226.0,713.0,703.0,46945.0,260.0,1511.0,627.0,1060.0,WT,NNKRec8,Yes,Recipient,Post,NNK-FMT
B9-S18,21.0,3668.0,51879.0,2102.0,156.0,96.0,40009.0,41.0,2141.0,991.0,52.0,WT,NNKRec9,Yes,Recipient,Post,NNK-FMT
C1-S20,0.0,5095.0,34052.0,0.0,0.0,277.0,49092.0,0.0,5052.0,16650.0,19.0,WT,NNKRec1,Yes,Recipient,Pre,NNK-FMT
C10-S29,945.0,13656.0,50923.0,0.0,0.0,2836.0,94138.0,0.0,3724.0,13576.0,8707.0,WT,NNKRec10,Yes,Recipient,Pre,NNK-FMT
C2-S21,0.0,4655.0,33916.0,0.0,0.0,168.0,42416.0,0.0,10896.0,22528.0,13.0,WT,NNKRec2,Yes,Recipient,Pre,NNK-FMT
C3-S22,107.0,5286.0,19596.0,0.0,0.0,600.0,35465.0,0.0,3184.0,9934.0,543.0,WT,NNKRec3,Yes,Recipient,Pre,NNK-FMT
C4-S23,851.0,7008.0,42794.0,0.0,0.0,2330.0,72177.0,0.0,1552.0,12280.0,1039.0,WT,NNKRec4,Yes,Recipient,Pre,NNK-FMT
C5-S24,136.0,10768.0,42327.0,0.0,0.0,1246.0,67853.0,0.0,8920.0,22964.0,242.0,WT,NNKRec5,Yes,Recipient,Pre,NNK-FMT
C6-S25,105.0,11085.0,40663.0,0.0,0.0,478.0,66210.0,0.0,6321.0,13377.0,69.0,WT,NNKRec6,Yes,Recipient,Pre,NNK-FMT
C7-S26,0.0,6954.0,44702.0,0.0,0.0,369.0,68223.0,0.0,5969.0,25423.0,20.0,WT,NNKRec7,Yes,Recipient,Pre,NNK-FMT
C8-S27,68.0,8874.0,60060.0,0.0,0.0,6669.0,81663.0,0.0,10338.0,35729.0,5056.0,WT,NNKRec8,Yes,Recipient,Pre,NNK-FMT
C9-S28,0.0,11751.0,60680.0,0.0,0.0,5108.0,82259.0,0.0,7092.0,31661.0,5646.0,WT,NNKRec9,Yes,Recipient,Pre,NNK-FMT
D1-S30,0.0,1922.0,63028.0,0.0,0.0,0.0,80849.0,0.0,347.0,20682.0,0.0,WT,Donor1,Yes,Donor,NA,NNK-FMT
D10-S39,0.0,2987.0,29220.0,8668.0,2202.0,636.0,127036.0,870.0,47.0,1077.0,12645.0,WT,Donor10,Yes,Donor,NA,NNK-FMT
D2-S31,0.0,1262.0,68722.0,0.0,0.0,0.0,83526.0,0.0,893.0,72.0,0.0,WT,Donor2,Yes,Donor,NA,NNK-FMT
D3-S32,0.0,2034.0,71152.0,0.0,0.0,0.0,89079.0,0.0,1184.0,135.0,0.0,WT,Donor3,Yes,Donor,NA,NNK-FMT
