index,Unassigned;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,d__Eukaryota;p__Parabasalia;__;__,MouseModel,MouseID,NNKexp,FMTstatus,TumorImp,Study
A2-S3,0.0,5333.0,1264.0,42140.0,2074.0,170.0,1266.0,514.0,7994.0,29524.0,205.0,639.0,84.0,568.0,568.0,118.0,13.0,15359.0,76.0,3130.0,197.0,135.0,863.0,396.0,411.0,0.0,0.0,90.0,0.0,0.0,12.0,WT,CtrlRec2,No,Recipient,Post,NNK-FMT
A3-S4,0.0,4462.0,738.0,34802.0,1900.0,170.0,721.0,393.0,5881.0,34464.0,434.0,453.0,56.0,510.0,394.0,125.0,9.0,11819.0,43.0,2165.0,57.0,86.0,673.0,277.0,273.0,0.0,28.0,52.0,0.0,0.0,18.0,WT,CtrlRec3,No,Recipient,Post,NNK-FMT
A4-S5,0.0,8196.0,1621.0,27136.0,3241.0,350.0,856.0,187.0,10939.0,39990.0,83.0,0.0,0.0,45.0,42.0,33.0,6.0,19750.0,22.0,2382.0,112.0,173.0,93.0,0.0,1103.0,0.0,0.0,202.0,53.0,0.0,309.0,WT,CtrlRec4,No,Recipient,Post,NNK-FMT
A5-S6,0.0,7352.0,1492.0,37958.0,1796.0,129.0,886.0,1057.0,9851.0,33550.0,197.0,424.0,14.0,184.0,124.0,590.0,7.0,9124.0,45.0,2364.0,96.0,164.0,673.0,4.0,433.0,0.0,0.0,135.0,0.0,0.0,0.0,WT,CtrlRec5,No,Recipient,Post,NNK-FMT
A6-S7,0.0,5607.0,947.0,32464.0,2697.0,164.0,1504.0,556.0,6164.0,20312.0,118.0,0.0,0.0,43.0,208.0,160.0,6.0,17067.0,21.0,2591.0,377.0,261.0,84.0,0.0,644.0,0.0,0.0,114.0,9.0,0.0,57.0,WT,CtrlRec6,No,Recipient,Post,NNK-FMT
A7-S8,0.0,6179.0,1419.0,20866.0,4297.0,912.0,1807.0,1185.0,6444.0,13682.0,101.0,28.0,0.0,103.0,103.0,359.0,16.0,19139.0,17.0,5489.0,463.0,352.0,223.0,0.0,237.0,0.0,0.0,99.0,65.0,0.0,387.0,WT,CtrlRec7,No,Recipient,Post,NNK-FMT
A8-S9,0.0,7878.0,740.0,26867.0,4515.0,171.0,697.0,71.0,4200.0,27141.0,305.0,0.0,13.0,15.0,121.0,451.0,0.0,11134.0,25.0,1968.0,257.0,63.0,16.0,0.0,325.0,0.0,0.0,53.0,5.0,0.0,34.0,WT,CtrlRec8,No,Recipient,Post,NNK-FMT
B1-S10,18.0,483.0,1150.0,36955.0,1345.0,183.0,92.0,0.0,5267.0,23312.0,4.0,471.0,30.0,0.0,523.0,1259.0,0.0,10454.0,12.0,2363.0,95.0,72.0,240.0,0.0,564.0,0.0,51.0,480.0,6.0,0.0,35.0,WT,NNKRec1,Yes,Recipient,Post,NNK-FMT
B10-S19,58.0,25.0,803.0,41395.0,3165.0,451.0,855.0,0.0,766.0,20255.0,211.0,91.0,39.0,1109.0,700.0,43.0,14.0,16499.0,29.0,6296.0,455.0,194.0,1366.0,481.0,75.0,0.0,169.0,1808.0,0.0,11.0,49.0,WT,NNKRec10,Yes,Recipient,Post,NNK-FMT
B2-S11,49.0,221.0,2118.0,44965.0,1928.0,889.0,2906.0,229.0,7667.0,5438.0,10.0,0.0,43.0,280.0,147.0,1118.0,98.0,32425.0,27.0,13692.0,756.0,567.0,539.0,355.0,496.0,0.0,0.0,145.0,330.0,0.0,2247.0,WT,NNKRec2,Yes,Recipient,Post,NNK-FMT
