index,Unassigned;__;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Chlamydiaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,d__Eukaryota;p__Parabasalia;__;__;__,MouseModel,MouseID,NNKexp,FMTstatus,TumorImp,Study
A2-S3,0.0,5333.0,370.0,894.0,6653.0,697.0,20524.0,8961.0,3916.0,1389.0,2074.0,170.0,1266.0,514.0,1642.0,6352.0,0.0,29329.0,195.0,205.0,639.0,84.0,568.0,568.0,118.0,13.0,15359.0,76.0,248.0,2102.0,780.0,0.0,0.0,197.0,135.0,0.0,863.0,396.0,411.0,0.0,0.0,90.0,0.0,0.0,12.0,WT,CtrlRec2,No,Recipient,Post,NNK-FMT
A3-S4,0.0,4462.0,192.0,546.0,5423.0,531.0,17914.0,6667.0,3141.0,1126.0,1900.0,170.0,721.0,393.0,1373.0,4508.0,0.0,34179.0,285.0,434.0,453.0,56.0,510.0,394.0,125.0,9.0,11819.0,43.0,141.0,1545.0,479.0,0.0,0.0,57.0,86.0,0.0,673.0,277.0,273.0,0.0,28.0,52.0,0.0,0.0,18.0,WT,CtrlRec3,No,Recipient,Post,NNK-FMT
A4-S5,0.0,8196.0,782.0,839.0,2878.0,283.0,13385.0,6377.0,3323.0,890.0,3241.0,350.0,856.0,187.0,260.0,10679.0,0.0,39942.0,48.0,83.0,0.0,0.0,45.0,42.0,33.0,6.0,19750.0,22.0,288.0,1196.0,894.0,4.0,0.0,112.0,100.0,73.0,93.0,0.0,1103.0,0.0,0.0,202.0,53.0,0.0,309.0,WT,CtrlRec4,No,Recipient,Post,NNK-FMT
A5-S6,0.0,7352.0,828.0,664.0,3730.0,665.0,19674.0,8224.0,4385.0,1280.0,1796.0,129.0,886.0,1057.0,583.0,9268.0,0.0,33356.0,194.0,197.0,424.0,14.0,184.0,124.0,590.0,7.0,9124.0,45.0,165.0,1449.0,509.0,241.0,0.0,96.0,164.0,0.0,673.0,4.0,433.0,0.0,0.0,135.0,0.0,0.0,0.0,WT,CtrlRec5,No,Recipient,Post,NNK-FMT
A6-S7,0.0,5607.0,166.0,781.0,5480.0,470.0,13542.0,7715.0,4033.0,1224.0,2697.0,164.0,1504.0,556.0,669.0,5495.0,0.0,20225.0,87.0,118.0,0.0,0.0,43.0,208.0,160.0,6.0,17067.0,21.0,334.0,1508.0,744.0,5.0,0.0,377.0,164.0,97.0,84.0,0.0,644.0,0.0,0.0,114.0,9.0,0.0,57.0,WT,CtrlRec6,No,Recipient,Post,NNK-FMT
A7-S8,0.0,6179.0,552.0,867.0,1775.0,563.0,10937.0,4010.0,3015.0,566.0,4297.0,912.0,1807.0,1185.0,462.0,5982.0,0.0,13629.0,53.0,101.0,28.0,0.0,103.0,103.0,359.0,16.0,19139.0,17.0,818.0,2978.0,1591.0,102.0,0.0,463.0,291.0,61.0,223.0,0.0,237.0,0.0,0.0,99.0,65.0,0.0,387.0,WT,CtrlRec7,No,Recipient,Post,NNK-FMT
A8-S9,0.0,7878.0,106.0,634.0,4286.0,467.0,11758.0,6089.0,3551.0,716.0,4515.0,171.0,697.0,71.0,427.0,3773.0,0.0,27122.0,19.0,305.0,0.0,13.0,15.0,121.0,451.0,0.0,11134.0,25.0,210.0,1105.0,617.0,36.0,0.0,257.0,63.0,0.0,16.0,0.0,325.0,0.0,0.0,53.0,5.0,0.0,34.0,WT,CtrlRec8,No,Recipient,Post,NNK-FMT
B1-S10,18.0,483.0,103.0,1047.0,8336.0,732.0,13904.0,9119.0,3173.0,1691.0,1345.0,183.0,92.0,0.0,1213.0,4054.0,0.0,23312.0,0.0,4.0,471.0,30.0,0.0,523.0,1259.0,0.0,10454.0,12.0,328.0,1216.0,774.0,45.0,0.0,95.0,72.0,0.0,240.0,0.0,564.0,0.0,51.0,480.0,6.0,0.0,35.0,WT,NNKRec1,Yes,Recipient,Post,NNK-FMT
B10-S19,58.0,25.0,0.0,803.0,9979.0,1366.0,12276.0,9074.0,6714.0,1986.0,3165.0,451.0,855.0,0.0,180.0,586.0,0.0,20255.0,0.0,211.0,91.0,39.0,1109.0,700.0,43.0,14.0,16499.0,29.0,385.0,3769.0,2135.0,7.0,0.0,455.0,194.0,0.0,1366.0,481.0,75.0,0.0,169.0,1808.0,0.0,11.0,49.0,WT,NNKRec10,Yes,Recipient,Post,NNK-FMT
B2-S11,49.0,221.0,42.0,2076.0,10640.0,1038.0,19167.0,7951.0,3810.0,2359.0,1928.0,889.0,2906.0,229.0,89.0,7578.0,0.0,5438.0,0.0,10.0,0.0,43.0,280.0,147.0,1118.0,98.0,32425.0,27.0,1317.0,9425.0,2950.0,0.0,0.0,756.0,567.0,0.0,539.0,355.0,496.0,0.0,0.0,145.0,330.0,0.0,2247.0,WT,NNKRec2,Yes,Recipient,Post,NNK-FMT
