index,Unassigned;__,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Verrucomicrobiota,MouseModel,MouseID,Cancer,SmokeExp,NeoExp,TumorImp,Study
CTRL1-S106,368.0,455.0,5013.0,17460.0,223.0,185.0,WT,CTRL1,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL10-S112,264.0,609.0,3043.0,15334.0,50.0,208.0,WT,CTRL10,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL2-S111,230.0,435.0,4047.0,14834.0,131.0,113.0,WT,CTRL2,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL3-S116,667.0,167.0,5768.0,19817.0,76.0,78.0,WT,CTRL3,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL4-S121,953.0,200.0,5229.0,17888.0,201.0,80.0,WT,CTRL4,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL6-S131,733.0,171.0,3516.0,16486.0,28.0,90.0,WT,CTRL6,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL7-S136,884.0,321.0,5138.0,17607.0,397.0,88.0,WT,CTRL7,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL8-S141,286.0,148.0,3878.0,14966.0,101.0,122.0,WT,CTRL8,Pancreatic,No,No,Post,Neo-Pancreatic
CTRL9-S107,453.0,110.0,2515.0,11559.0,18.0,104.0,WT,CTRL9,Pancreatic,No,No,Post,Neo-Pancreatic
Neo1-S133,0.0,11.0,2613.0,8628.0,0.0,71.0,WT,Neo1,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo2-S138,30.0,169.0,10290.0,18324.0,68.0,1067.0,WT,Neo2,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo3-S143,209.0,97.0,6567.0,11481.0,58.0,528.0,WT,Neo3,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo4-S109,7.0,114.0,5350.0,14101.0,32.0,581.0,WT,Neo4,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo5-S114,19.0,143.0,7825.0,16457.0,33.0,510.0,WT,Neo5,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo6-S119,281.0,136.0,8355.0,19097.0,85.0,800.0,WT,Neo6,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo7-S124,13.0,123.0,8511.0,17327.0,0.0,382.0,WT,Neo7,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo8-S129,15.0,268.0,7941.0,18164.0,21.0,828.0,WT,Neo8,Pancreatic,No,Yes,Post,Neo-Pancreatic
Neo9-S134,335.0,148.0,5353.0,16635.0,35.0,748.0,WT,Neo9,Pancreatic,No,Yes,Post,Neo-Pancreatic
SMK-Neo1-S139,119.0,0.0,12817.0,15452.0,6.0,86.0,WT,SMK_Neo1,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK-Neo3-S110,371.0,0.0,14661.0,5022.0,12.0,302.0,WT,SMK_Neo3,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK-Neo4-S115,98.0,0.0,12438.0,13234.0,0.0,223.0,WT,SMK_Neo4,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK-Neo5-S120,169.0,0.0,8567.0,9847.0,10.0,196.0,WT,SMK_Neo5,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK-Neo6-S125,646.0,0.0,15576.0,9851.0,13.0,1373.0,WT,SMK_Neo6,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK-Neo7-S130,78.0,0.0,8530.0,8546.0,8.0,668.0,WT,SMK_Neo7,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK-Neo8-S135,476.0,0.0,17398.0,4764.0,0.0,615.0,WT,SMK_Neo8,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK1-S117,267.0,86.0,4831.0,10987.0,214.0,105.0,WT,SMK1,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK10-S123,354.0,110.0,7792.0,14542.0,344.0,59.0,WT,SMK10,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK11-S128,1188.0,303.0,6274.0,15437.0,60.0,283.0,WT,SMK11,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK2-S122,370.0,196.0,5435.0,12656.0,108.0,119.0,WT,SMK2,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK3-S127,650.0,151.0,4387.0,13045.0,49.0,87.0,WT,SMK3,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK4-S132,477.0,111.0,2976.0,8286.0,0.0,0.0,WT,SMK4,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK5-S137,1067.0,230.0,3634.0,10705.0,16.0,109.0,WT,SMK5,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK7-S108,395.0,235.0,4563.0,8963.0,89.0,42.0,WT,SMK7,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK8-S113,196.0,238.0,6702.0,13740.0,437.0,224.0,WT,SMK8,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK9-S118,575.0,109.0,5165.0,14664.0,216.0,88.0,WT,SMK9,Pancreatic,Yes,No,Post,Neo-Pancreatic
