index,Unassigned;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Deferribacterota;c__Deferribacteres,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Eukaryota;p__Parabasalia;__,MouseModel,MouseID,Cancer,SmokeExp,FMTstatus,TumorImp,Study
ControlDonor1-S84,0.0,1083.0,198.0,22183.0,4.0,0.0,0.0,5460.0,13261.0,0.0,0.0,259.0,0.0,1691.0,0.0,WT,FMT-CD1,NA,No,Donor,NA,Smoke-FMT
ControlDonor2-S85,0.0,367.0,58.0,8634.0,0.0,0.0,51.0,2526.0,8005.0,16.0,0.0,196.0,0.0,322.0,0.0,WT,FMT-CD2,NA,No,Donor,NA,Smoke-FMT
ControlDonor3-S86,0.0,887.0,51.0,18213.0,292.0,19.0,90.0,5873.0,13970.0,80.0,0.0,336.0,24.0,564.0,137.0,WT,FMT-CD3,NA,No,Donor,NA,Smoke-FMT
ControlDonor4-S87,0.0,791.0,203.0,18343.0,0.0,0.0,0.0,4950.0,15583.0,0.0,0.0,441.0,0.0,662.0,0.0,WT,FMT-CD4,NA,No,Donor,NA,Smoke-FMT
ControlDonor5-S88,8.0,215.0,65.0,16727.0,832.0,0.0,133.0,3131.0,18073.0,78.0,12.0,165.0,0.0,1220.0,13.0,WT,FMT-CD5,NA,No,Donor,NA,Smoke-FMT
ControlDonor6-S89,15.0,265.0,38.0,14889.0,705.0,0.0,176.0,3257.0,14468.0,260.0,6.0,318.0,0.0,2741.0,65.0,WT,FMT-CD6,NA,No,Donor,NA,Smoke-FMT
ControlDonor7-S90,0.0,1121.0,79.0,19875.0,0.0,0.0,0.0,6151.0,9604.0,0.0,0.0,200.0,0.0,221.0,0.0,WT,FMT-CD7,NA,No,Donor,NA,Smoke-FMT
ControlDonor8-S91,15.0,726.0,82.0,16193.0,967.0,0.0,360.0,5169.0,12771.0,267.0,12.0,461.0,0.0,900.0,0.0,WT,FMT-CD8,NA,No,Donor,NA,Smoke-FMT
PostcntrFMT1-S116,39.0,846.0,147.0,20836.0,1084.0,0.0,179.0,5528.0,15460.0,161.0,1560.0,84.0,0.0,5.0,0.0,WT,FMT-CR1,Pancreatic,No,Recipient,Post,Smoke-FMT
PostcntrFMT2-S117,44.0,1202.0,114.0,25860.0,574.0,0.0,427.0,5720.0,14521.0,171.0,526.0,95.0,0.0,10.0,0.0,WT,FMT-CR2,Pancreatic,No,Recipient,Post,Smoke-FMT
