index,Unassigned;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,d__Eukaryota;p__Parabasalia;__;__,MouseModel,MouseID,Cancer,SmokeExp,FMTstatus,TumorImp,Study
ControlDonor1-S84,0.0,1083.0,198.0,22183.0,4.0,0.0,0.0,2.0,2878.0,2580.0,0.0,0.0,0.0,392.0,1308.0,0.0,9051.0,24.0,2385.0,0.0,101.0,0.0,0.0,259.0,0.0,0.0,1691.0,0.0,WT,FMT-CD1,NA,No,Donor,NA,Smoke-FMT
ControlDonor2-S85,0.0,367.0,58.0,8634.0,0.0,0.0,51.0,0.0,1319.0,1207.0,0.0,0.0,0.0,0.0,354.0,0.0,6626.0,0.0,953.0,16.0,56.0,16.0,0.0,196.0,0.0,0.0,322.0,0.0,WT,FMT-CD2,NA,No,Donor,NA,Smoke-FMT
ControlDonor3-S86,0.0,887.0,51.0,18213.0,292.0,19.0,90.0,36.0,1912.0,3587.0,18.0,320.0,0.0,171.0,900.0,17.0,10558.0,16.0,2176.0,51.0,81.0,80.0,0.0,336.0,24.0,0.0,564.0,137.0,WT,FMT-CD3,NA,No,Donor,NA,Smoke-FMT
ControlDonor4-S87,0.0,791.0,203.0,18343.0,0.0,0.0,0.0,11.0,3324.0,1615.0,0.0,0.0,0.0,111.0,2347.0,0.0,10822.0,7.0,2201.0,23.0,72.0,0.0,0.0,441.0,0.0,0.0,662.0,0.0,WT,FMT-CD4,NA,No,Donor,NA,Smoke-FMT
ControlDonor5-S88,8.0,215.0,65.0,16727.0,832.0,0.0,133.0,27.0,1012.0,2078.0,2.0,12.0,0.0,31.0,1625.0,12.0,12743.0,0.0,3349.0,91.0,222.0,78.0,12.0,165.0,0.0,0.0,1220.0,13.0,WT,FMT-CD5,NA,No,Donor,NA,Smoke-FMT
ControlDonor6-S89,15.0,265.0,38.0,14889.0,705.0,0.0,176.0,32.0,896.0,2258.0,0.0,71.0,0.0,115.0,600.0,48.0,10440.0,0.0,2795.0,106.0,364.0,260.0,6.0,318.0,0.0,0.0,2741.0,65.0,WT,FMT-CD6,NA,No,Donor,NA,Smoke-FMT
ControlDonor7-S90,0.0,1121.0,79.0,19875.0,0.0,0.0,0.0,13.0,2143.0,3995.0,0.0,0.0,0.0,14.0,598.0,0.0,7433.0,51.0,1423.0,16.0,69.0,0.0,0.0,200.0,0.0,0.0,221.0,0.0,WT,FMT-CD7,NA,No,Donor,NA,Smoke-FMT
ControlDonor8-S91,15.0,726.0,82.0,16193.0,967.0,0.0,360.0,25.0,1948.0,2683.0,20.0,493.0,0.0,329.0,734.0,63.0,9244.0,0.0,2088.0,122.0,191.0,267.0,12.0,461.0,0.0,0.0,900.0,0.0,WT,FMT-CD8,NA,No,Donor,NA,Smoke-FMT
PostcntrFMT1-S116,39.0,846.0,147.0,20836.0,1084.0,0.0,179.0,104.0,2703.0,1503.0,30.0,1188.0,42.0,1968.0,1556.0,850.0,6751.0,0.0,3392.0,300.0,601.0,161.0,1560.0,84.0,0.0,0.0,5.0,0.0,WT,FMT-CR1,Pancreatic,No,Recipient,Post,Smoke-FMT
PostcntrFMT2-S117,44.0,1202.0,114.0,25860.0,574.0,0.0,427.0,0.0,2288.0,2806.0,28.0,598.0,10.0,1124.0,830.0,913.0,8646.0,0.0,1919.0,442.0,637.0,171.0,526.0,95.0,0.0,0.0,10.0,0.0,WT,FMT-CR2,Pancreatic,No,Recipient,Post,Smoke-FMT
