sample-id,absolute-filepath,direction
Blank1-S81,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Blank1_S81_R1_001.fastq.gz,forward
Blank1-S81,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Blank1_S81_R2_001.fastq.gz,reverse
Blank2-S82,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Blank2_S82_R1_001.fastq.gz,forward
Blank2-S82,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Blank2_S82_R2_001.fastq.gz,reverse
Blank3-S83,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Blank3_S83_R1_001.fastq.gz,forward
Blank3-S83,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Blank3_S83_R2_001.fastq.gz,reverse
Blank4-S134,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Blank4_S134_R1_001.fastq.gz,forward
Blank4-S134,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Blank4_S134_R2_001.fastq.gz,reverse
Blank5-S135,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Blank5_S135_R1_001.fastq.gz,forward
Blank5-S135,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Blank5_S135_R2_001.fastq.gz,reverse
Blank6-S136,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Blank6_S136_R1_001.fastq.gz,forward
Blank6-S136,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/Blank6_S136_R2_001.fastq.gz,reverse
blank7-S219,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/blank7_S219_R1_001.fastq.gz,forward
blank7-S219,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/blank7_S219_R2_001.fastq.gz,reverse
blank8-S220,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/blank8_S220_R1_001.fastq.gz,forward
blank8-S220,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/blank8_S220_R2_001.fastq.gz,reverse
blank9-S238,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/blank9_S238_R1_001.fastq.gz,forward
blank9-S238,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/blank9_S238_R2_001.fastq.gz,reverse
blank10-S239,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/blank10_S239_R1_001.fastq.gz,forward
blank10-S239,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/blank10_S239_R2_001.fastq.gz,reverse
ControlDonor1-S84,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor1_S84_R1_001.fastq.gz,forward
ControlDonor1-S84,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor1_S84_R2_001.fastq.gz,reverse
ControlDonor2-S85,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor2_S85_R1_001.fastq.gz,forward
ControlDonor2-S85,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor2_S85_R2_001.fastq.gz,reverse
ControlDonor3-S86,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor3_S86_R1_001.fastq.gz,forward
ControlDonor3-S86,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor3_S86_R2_001.fastq.gz,reverse
ControlDonor4-S87,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor4_S87_R1_001.fastq.gz,forward
ControlDonor4-S87,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor4_S87_R2_001.fastq.gz,reverse
ControlDonor5-S88,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor5_S88_R1_001.fastq.gz,forward
ControlDonor5-S88,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor5_S88_R2_001.fastq.gz,reverse
ControlDonor6-S89,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor6_S89_R1_001.fastq.gz,forward
ControlDonor6-S89,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor6_S89_R2_001.fastq.gz,reverse
ControlDonor7-S90,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor7_S90_R1_001.fastq.gz,forward
ControlDonor7-S90,/scratch/asorgen/16Sdatasets/mouseSmoke/Dudeja_004_V4_analysis/rawSeqs/ControlDonor7_S90_R2_001.fastq.gz,reverse
