SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Study
S731ABX1-S90	WT	Pan-ABX1	Pre-tumor	No	Yes	Pre	Abx-Pancreatic
S731ABX2-S91	WT	Pan-ABX2	Pre-tumor	No	Yes	Pre	Abx-Pancreatic
S731ABX3-S92	WT	Pan-ABX3	Pre-tumor	No	Yes	Pre	Abx-Pancreatic
S731ABX4-S93	WT	Pan-ABX4	Pre-tumor	No	Yes	Pre	Abx-Pancreatic
S731CT1-S34	WT	Pan-CT1	Pre-tumor	No	No	Pre	Abx-Pancreatic
S731CT2-S35	WT	Pan-CT2	Pre-tumor	No	No	Pre	Abx-Pancreatic
S731CT3-S36	WT	Pan-CT3	Pre-tumor	No	No	Pre	Abx-Pancreatic
S731CT4-S37	WT	Pan-CT4	Pre-tumor	No	No	Pre	Abx-Pancreatic
S731CT5-S38	WT	Pan-CT5	Pre-tumor	No	No	Pre	Abx-Pancreatic
S731CT6-S39	WT	Pan-CT6	Pre-tumor	No	No	Pre	Abx-Pancreatic
S731CT7-S40	WT	Pan-CT7	Pre-tumor	No	No	Pre	Abx-Pancreatic
S731CT8-S41	WT	Pan-CT8	Pre-tumor	No	No	Pre	Abx-Pancreatic
S731CT9-S42	WT	Pan-CT9	Pre-tumor	No	No	Pre	Abx-Pancreatic
S731SA1-S52	WT	Pan-SA1	Pre-tumor	Yes	Yes	Pre	Abx-Pancreatic
S731SA2-S53	WT	Pan-SA2	Pre-tumor	Yes	Yes	Pre	Abx-Pancreatic
S731SA3-S54	WT	Pan-SA3	Pre-tumor	Yes	Yes	Pre	Abx-Pancreatic
S731SA4-S55	WT	Pan-SA4	Pre-tumor	Yes	Yes	Pre	Abx-Pancreatic
S731SA5-S56	WT	Pan-SA5	Pre-tumor	Yes	Yes	Pre	Abx-Pancreatic
S731SA6-S57	WT	Pan-SA6	Pre-tumor	Yes	Yes	Pre	Abx-Pancreatic
S731SM1-S43	WT	Pan-SM1	Pre-tumor	Yes	No	Pre	Abx-Pancreatic
S731SM2-S44	WT	Pan-SM2	Pre-tumor	Yes	No	Pre	Abx-Pancreatic
S731SM3-S45	WT	Pan-SM3	Pre-tumor	Yes	No	Pre	Abx-Pancreatic
S731SM4-S46	WT	Pan-SM4	Pre-tumor	Yes	No	Pre	Abx-Pancreatic
S731SM5-S47	WT	Pan-SM5	Pre-tumor	Yes	No	Pre	Abx-Pancreatic
S731SM6-S48	WT	Pan-SM6	Pre-tumor	Yes	No	Pre	Abx-Pancreatic
S731SM7-S49	WT	Pan-SM7	Pre-tumor	Yes	No	Pre	Abx-Pancreatic
S731SM8-S50	WT	Pan-SM8	Pre-tumor	Yes	No	Pre	Abx-Pancreatic
S731SM9-S51	WT	Pan-SM9	Pre-tumor	Yes	No	Pre	Abx-Pancreatic
P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Yes	Post	Abx-Pancreatic
P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Yes	Post	Abx-Pancreatic
P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Yes	Post	Abx-Pancreatic
P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Yes	Post	Abx-Pancreatic
P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Yes	Post	Abx-Pancreatic
P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Yes	Post	Abx-Pancreatic
P731ABX7-S154	WT	Pan-ABX7	Pancreatic	No	Yes	Post	Abx-Pancreatic
P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Yes	Post	Abx-Pancreatic
P731CT1-S131	WT	Pan-CT1	Pancreatic	No	No	Post	Abx-Pancreatic
P731CT2-S132	WT	Pan-CT2	Pancreatic	No	No	Post	Abx-Pancreatic
