SampleID	MouseModel	MouseID	NNKexp	FMTstatus	TumorImp	Study
A2-S3	WT	CtrlRec2	No	Recipient	Post	NNK-FMT
A3-S4	WT	CtrlRec3	No	Recipient	Post	NNK-FMT
A4-S5	WT	CtrlRec4	No	Recipient	Post	NNK-FMT
A5-S6	WT	CtrlRec5	No	Recipient	Post	NNK-FMT
A6-S7	WT	CtrlRec6	No	Recipient	Post	NNK-FMT
A7-S8	WT	CtrlRec7	No	Recipient	Post	NNK-FMT
A8-S9	WT	CtrlRec8	No	Recipient	Post	NNK-FMT
B1-S10	WT	NNKRec1	Yes	Recipient	Post	NNK-FMT
B2-S11	WT	NNKRec2	Yes	Recipient	Post	NNK-FMT
B3-S12	WT	NNKRec3	Yes	Recipient	Post	NNK-FMT
B4-S13	WT	NNKRec4	Yes	Recipient	Post	NNK-FMT
B5-S14	WT	NNKRec5	Yes	Recipient	Post	NNK-FMT
B6-S15	WT	NNKRec6	Yes	Recipient	Post	NNK-FMT
B7-S16	WT	NNKRec7	Yes	Recipient	Post	NNK-FMT
B8-S17	WT	NNKRec8	Yes	Recipient	Post	NNK-FMT
B9-S18	WT	NNKRec9	Yes	Recipient	Post	NNK-FMT
B10-S19	WT	NNKRec10	Yes	Recipient	Post	NNK-FMT
C1-S20	WT	NNKRec1	Yes	Recipient	Pre	NNK-FMT
C2-S21	WT	NNKRec2	Yes	Recipient	Pre	NNK-FMT
C3-S22	WT	NNKRec3	Yes	Recipient	Pre	NNK-FMT
C4-S23	WT	NNKRec4	Yes	Recipient	Pre	NNK-FMT
C5-S24	WT	NNKRec5	Yes	Recipient	Pre	NNK-FMT
C6-S25	WT	NNKRec6	Yes	Recipient	Pre	NNK-FMT
C7-S26	WT	NNKRec7	Yes	Recipient	Pre	NNK-FMT
C8-S27	WT	NNKRec8	Yes	Recipient	Pre	NNK-FMT
C9-S28	WT	NNKRec9	Yes	Recipient	Pre	NNK-FMT
C10-S29	WT	NNKRec10	Yes	Recipient	Pre	NNK-FMT
D1-S30	WT	Donor1	Yes	Donor	NA	NNK-FMT
D2-S31	WT	Donor2	Yes	Donor	NA	NNK-FMT
D3-S32	WT	Donor3	Yes	Donor	NA	NNK-FMT
D4-S33	WT	Donor4	Yes	Donor	NA	NNK-FMT
D5-S34	WT	Donor5	Yes	Donor	NA	NNK-FMT
D6-S35	WT	Donor6	Yes	Donor	NA	NNK-FMT
D7-S36	WT	Donor7	Yes	Donor	NA	NNK-FMT
D8-S37	WT	Donor8	Yes	Donor	NA	NNK-FMT
D9-S38	WT	Donor9	Yes	Donor	NA	NNK-FMT
D10-S39	WT	Donor10	Yes	Donor	NA	NNK-FMT
E1-S40	WT	CtrlRec1	No	Recipient	Pre	NNK-FMT
E2-S41	WT	CtrlRec2	No	Recipient	Pre	NNK-FMT
E3-S42	WT	CtrlRec3	No	Recipient	Pre	NNK-FMT
E4-S43	WT	CtrlRec4	No	Recipient	Pre	NNK-FMT
E5-S44	WT	CtrlRec5	No	Recipient	Pre	NNK-FMT
E6-S45	WT	CtrlRec6	No	Recipient	Pre	NNK-FMT
E7-S46	WT	CtrlRec7	No	Recipient	Pre	NNK-FMT
E8-S47	WT	CtrlRec8	No	Recipient	Pre	NNK-FMT
E9-S48	WT	CtrlRec9	No	Recipient	Pre	NNK-FMT
E10-S49	WT	CtrlRec10	No	Recipient	Pre	NNK-FMT
