SampleID	MouseModel	MouseID	Cancer	SmokeExp	NeoExp	TumorImp	Study
CTRL1-S106	WT	CTRL1	Pancreatic	No	No	Post	Neo-Pancreatic
CTRL2-S111	WT	CTRL2	Pancreatic	No	No	Post	Neo-Pancreatic
CTRL3-S116	WT	CTRL3	Pancreatic	No	No	Post	Neo-Pancreatic
CTRL4-S121	WT	CTRL4	Pancreatic	No	No	Post	Neo-Pancreatic
CTRL5-S126	WT	CTRL5	Pancreatic	No	No	Post	Neo-Pancreatic
CTRL6-S131	WT	CTRL6	Pancreatic	No	No	Post	Neo-Pancreatic
CTRL7-S136	WT	CTRL7	Pancreatic	No	No	Post	Neo-Pancreatic
CTRL8-S141	WT	CTRL8	Pancreatic	No	No	Post	Neo-Pancreatic
CTRL9-S107	WT	CTRL9	Pancreatic	No	No	Post	Neo-Pancreatic
CTRL10-S112	WT	CTRL10	Pancreatic	No	No	Post	Neo-Pancreatic
Neo1-S133	WT	Neo1	Pancreatic	No	Yes	Post	Neo-Pancreatic
Neo2-S138	WT	Neo2	Pancreatic	No	Yes	Post	Neo-Pancreatic
Neo3-S143	WT	Neo3	Pancreatic	No	Yes	Post	Neo-Pancreatic
Neo4-S109	WT	Neo4	Pancreatic	No	Yes	Post	Neo-Pancreatic
Neo5-S114	WT	Neo5	Pancreatic	No	Yes	Post	Neo-Pancreatic
Neo6-S119	WT	Neo6	Pancreatic	No	Yes	Post	Neo-Pancreatic
Neo7-S124	WT	Neo7	Pancreatic	No	Yes	Post	Neo-Pancreatic
Neo8-S129	WT	Neo8	Pancreatic	No	Yes	Post	Neo-Pancreatic
Neo9-S134	WT	Neo9	Pancreatic	No	Yes	Post	Neo-Pancreatic
SMK-Neo1-S139	WT	SMK_Neo1	Pancreatic	Yes	Yes	Post	Neo-Pancreatic
SMK-Neo2-S144	WT	SMK_Neo2	Pancreatic	Yes	Yes	Post	Neo-Pancreatic
SMK-Neo3-S110	WT	SMK_Neo3	Pancreatic	Yes	Yes	Post	Neo-Pancreatic
SMK-Neo4-S115	WT	SMK_Neo4	Pancreatic	Yes	Yes	Post	Neo-Pancreatic
SMK-Neo5-S120	WT	SMK_Neo5	Pancreatic	Yes	Yes	Post	Neo-Pancreatic
SMK-Neo6-S125	WT	SMK_Neo6	Pancreatic	Yes	Yes	Post	Neo-Pancreatic
SMK-Neo7-S130	WT	SMK_Neo7	Pancreatic	Yes	Yes	Post	Neo-Pancreatic
SMK-Neo8-S135	WT	SMK_Neo8	Pancreatic	Yes	Yes	Post	Neo-Pancreatic
SMK1-S117	WT	SMK1	Pancreatic	Yes	No	Post	Neo-Pancreatic
SMK2-S122	WT	SMK2	Pancreatic	Yes	No	Post	Neo-Pancreatic
SMK3-S127	WT	SMK3	Pancreatic	Yes	No	Post	Neo-Pancreatic
SMK4-S132	WT	SMK4	Pancreatic	Yes	No	Post	Neo-Pancreatic
SMK5-S137	WT	SMK5	Pancreatic	Yes	No	Post	Neo-Pancreatic
SMK6-S142	WT	SMK6	Pancreatic	Yes	No	Post	Neo-Pancreatic
SMK7-S108	WT	SMK7	Pancreatic	Yes	No	Post	Neo-Pancreatic
SMK8-S113	WT	SMK8	Pancreatic	Yes	No	Post	Neo-Pancreatic
SMK9-S118	WT	SMK9	Pancreatic	Yes	No	Post	Neo-Pancreatic
SMK10-S123	WT	SMK10	Pancreatic	Yes	No	Post	Neo-Pancreatic
SMK11-S128	WT	SMK11	Pancreatic	Yes	No	Post	Neo-Pancreatic
