SampleID	MouseModel	MouseID	Cancer	SmokeExp	FMTstatus	TumorImp	Study
ControlDonor1-S84	WT	FMT-CD1	NA	No	Donor	NA	Smoke-FMT
ControlDonor2-S85	WT	FMT-CD2	NA	No	Donor	NA	Smoke-FMT
ControlDonor3-S86	WT	FMT-CD3	NA	No	Donor	NA	Smoke-FMT
ControlDonor4-S87	WT	FMT-CD4	NA	No	Donor	NA	Smoke-FMT
ControlDonor5-S88	WT	FMT-CD5	NA	No	Donor	NA	Smoke-FMT
ControlDonor6-S89	WT	FMT-CD6	NA	No	Donor	NA	Smoke-FMT
ControlDonor7-S90	WT	FMT-CD7	NA	No	Donor	NA	Smoke-FMT
ControlDonor8-S91	WT	FMT-CD8	NA	No	Donor	NA	Smoke-FMT
PostcntrFMT1-S116	WT	FMT-CR1	Pancreatic	No	Recipient	Post	Smoke-FMT
PostcntrFMT2-S117	WT	FMT-CR2	Pancreatic	No	Recipient	Post	Smoke-FMT
PostcntrFMT3-S118	WT	FMT-CR3	Pancreatic	No	Recipient	Post	Smoke-FMT
PostcntrFMT4-S119	WT	FMT-CR4	Pancreatic	No	Recipient	Post	Smoke-FMT
PostcntrFMT5-S120	WT	FMT-CR5	Pancreatic	No	Recipient	Post	Smoke-FMT
PostcntrFMT6-S121	WT	FMT-CR6	Pancreatic	No	Recipient	Post	Smoke-FMT
PostcntrFMT7-S122	WT	FMT-CR7	Pancreatic	No	Recipient	Post	Smoke-FMT
PostcntrFMT8-S123	WT	FMT-CR8	Pancreatic	No	Recipient	Post	Smoke-FMT
PostsmkFMT1-S124	WT	FMT-SR1	Pancreatic	Yes	Recipient	Post	Smoke-FMT
PostsmkFMT2-S125	WT	FMT-SR2	Pancreatic	Yes	Recipient	Post	Smoke-FMT
PostsmkFMT3-S126	WT	FMT-SR3	Pancreatic	Yes	Recipient	Post	Smoke-FMT
PostsmkFMT4-S127	WT	FMT-SR4	Pancreatic	Yes	Recipient	Post	Smoke-FMT
PostsmkFMT5-S128	WT	FMT-SR5	Pancreatic	Yes	Recipient	Post	Smoke-FMT
PostsmkFMT6-S129	WT	FMT-SR6	Pancreatic	Yes	Recipient	Post	Smoke-FMT
PostsmkFMT7-S130	WT	FMT-SR7	Pancreatic	Yes	Recipient	Post	Smoke-FMT
PostsmkFMT8-S131	WT	FMT-SR8	Pancreatic	Yes	Recipient	Post	Smoke-FMT
PostsmkFMT9-S132	WT	FMT-SR9	Pancreatic	Yes	Recipient	Post	Smoke-FMT
PostsmkFMT10-S133	WT	FMT-SR10	Pancreatic	Yes	Recipient	Post	Smoke-FMT
PrecntrlFMT1-S100	WT	FMT-CR1	Pancreatic	No	Recipient	Pre	Smoke-FMT
PrecntrlFMT2-S101	WT	FMT-CR2	Pancreatic	No	Recipient	Pre	Smoke-FMT
PrecntrlFMT3-S102	WT	FMT-CR3	Pancreatic	No	Recipient	Pre	Smoke-FMT
PrecntrlFMT4-S103	WT	FMT-CR4	Pancreatic	No	Recipient	Pre	Smoke-FMT
PrecntrlFMT5-S104	WT	FMT-CR5	Pancreatic	No	Recipient	Pre	Smoke-FMT
PrecntrlFMT6-S105	WT	FMT-CR6	Pancreatic	No	Recipient	Pre	Smoke-FMT
PrecntrlFMT7-S106	WT	FMT-CR7	Pancreatic	No	Recipient	Pre	Smoke-FMT
PrecntrlFMT8-S107	WT	FMT-CR8	Pancreatic	No	Recipient	Pre	Smoke-FMT
PresmokeFMT1-S108	WT	FMT-SR1	Pancreatic	Yes	Recipient	Pre	Smoke-FMT
PresmokeFMT2-S109	WT	FMT-SR2	Pancreatic	Yes	Recipient	Pre	Smoke-FMT
PresmokeFMT3-S110	WT	FMT-SR3	Pancreatic	Yes	Recipient	Pre	Smoke-FMT
PresmokeFMT4-S111	WT	FMT-SR4	Pancreatic	Yes	Recipient	Pre	Smoke-FMT
PresmokeFMT5-S112	WT	FMT-SR5	Pancreatic	Yes	Recipient	Pre	Smoke-FMT
PresmokeFMT6-S113	WT	FMT-SR6	Pancreatic	Yes	Recipient	Pre	Smoke-FMT
PresmokeFMT7-S114	WT	FMT-SR7	Pancreatic	Yes	Recipient	Pre	Smoke-FMT
PresmokeFMT8-S115	WT	FMT-SR8	Pancreatic	Yes	Recipient	Pre	Smoke-FMT
Smokedonor1-S92	WT	FMT-SD1	NA	Yes	Donor	NA	Smoke-FMT
Smokedonor2-S93	WT	FMT-SD2	NA	Yes	Donor	NA	Smoke-FMT
Smokedonor3-S94	WT	FMT-SD3	NA	Yes	Donor	NA	Smoke-FMT
Smokedonor4-S95	WT	FMT-SD4	NA	Yes	Donor	NA	Smoke-FMT
Smokedonor5-S96	WT	FMT-SD5	NA	Yes	Donor	NA	Smoke-FMT
Smokedonor6-S97	WT	FMT-SD6	NA	Yes	Donor	NA	Smoke-FMT
Smokedonor7-S98	WT	FMT-SD7	NA	Yes	Donor	NA	Smoke-FMT
Smokedonor8-S99	WT	FMT-SD8	NA	Yes	Donor	NA	Smoke-FMT
